site,replicate,trap,year,season,bare_ground,litter,rock,protea,restio,erica,strandveld,succ_karoo,tot_veg
5,3,8,2022,October,15,20,30,0,15,20,0,0,35
5,3,9,2022,October,5,20,50,0,20,5,0,0,25
5,3,10,2022,October,10,10,25,0,5,50,0,0,55
5,4,1,2022,October,10,10,40,0,5,35,0,0,40
5,4,2,2022,October,10,25,20,0,30,15,0,0,45
5,4,3,2022,October,5,25,55,0,10,5,0,0,15
5,4,4,2022,October,10,25,25,0,15,25,0,0,40
5,4,5,2022,October,5,60,20,0,10,5,0,0,15
5,4,6,2022,October,15,20,45,0,15,5,0,0,20
5,4,7,2022,October,10,10,30,0,35,15,0,0,50
5,4,8,2022,October,10,20,25,0,25,20,0,0,45
5,4,9,2022,October,15,25,10,20,20,10,0,0,50
5,4,10,2022,October,10,15,25,0,40,10,0,0,50
6,1,1,2022,October,74,5,10,0,10,1,0,0,11
6,1,2,2022,October,50,30,0,0,20,0,0,0,20
6,1,3,2022,October,45,15,0,0,35,5,0,0,40
6,1,4,2022,October,30,20,0,0,50,0,0,0,50
6,1,5,2022,October,25,35,0,0,40,0,0,0,40
6,1,6,2022,October,55,20,0,0,25,0,0,0,25
6,1,7,2022,October,54,20,5,0,21,0,0,0,21
6,1,8,2022,October,55,20,10,0,10,5,0,0,15
6,1,9,2022,October,75,15,0,0,5,5,0,0,10
6,1,10,2022,October,55,25,0,0,20,0,0,0,20
6,2,1,2022,October,20,10,20,0,35,15,0,0,50
6,2,2,2022,October,20,10,35,0,25,10,0,0,35
6,2,3,2022,October,20,10,15,0,45,10,0,0,55
6,2,4,2022,October,40,10,10,0,25,15,0,0,40
6,2,5,2022,October,10,15,35,0,35,5,0,0,40
6,2,6,2022,October,35,5,5,0,54,1,0,0,55
6,2,7,2022,October,30,5,5,0,55,5,0,0,60
6,2,8,2022,October,35,5,10,0,45,5,0,0,50
6,2,9,2022,October,15,15,10,0,45,15,0,0,60
6,2,10,2022,October,15,10,35,0,25,15,0,0,40
6,3,1,2022,October,20,10,35,5,15,15,0,0,35
6,3,2,2022,October,25,15,30,0,15,15,0,0,30
6,3,3,2022,October,44,10,10,0,35,1,0,0,36
6,3,4,2022,October,50,15,0,0,20,15,0,0,35
6,3,5,2022,October,30,15,20,0,25,10,0,0,35
6,3,6,2022,October,40,5,1,0,53,1,0,0,54
6,3,7,2022,October,35,10,5,0,45,5,0,0,50
6,3,8,2022,October,30,5,20,0,40,5,0,0,45
6,3,9,2022,October,15,5,35,0,35,10,0,0,45
6,3,10,2022,October,5,5,30,0,40,20,0,0,60
6,4,1,2022,October,15,5,50,0,25,5,0,0,30
6,4,2,2022,October,20,5,29,0,41,5,0,0,46
6,4,3,2022,October,39,5,10,0,41,5,0,0,46
6,4,4,2022,October,39,10,20,0,30,1,0,0,31
6,4,5,2022,October,15,15,20,0,30,20,0,0,50
6,4,6,2022,October,40,5,10,0,40,5,0,0,45
6,4,7,2022,October,34,5,25,0,35,1,0,0,36
6,4,8,2022,October,50,10,5,0,30,5,0,0,35
6,4,9,2022,October,20,15,45,0,15,5,0,0,20
6,4,10,2022,October,39,10,20,0,30,1,0,0,31
7,1,1,2022,October,20,5,20,0,20,35,0,0,55
7,1,2,2022,October,40,5,5,0,30,20,0,0,50
7,1,3,2022,October,35,5,10,0,30,20,0,0,50
7,1,4,2022,October,25,10,5,0,30,30,0,0,60
7,1,5,2022,October,30,5,5,0,35,25,0,0,60
7,1,6,2022,October,30,5,5,0,10,50,0,0,60
7,1,7,2022,October,10,10,15,0,35,30,0,0,65
7,1,8,2022,October,30,5,10,0,25,30,0,0,55
7,1,9,2022,October,50,5,10,0,10,25,0,0,35
7,1,10,2022,October,25,10,10,0,25,30,0,0,55
7,2,1,2022,October,20,10,10,5,15,40,0,0,60
7,2,2,2022,October,25,15,10,0,15,35,0,0,50
7,2,3,2022,October,25,10,10,5,25,25,0,0,55
7,2,4,2022,October,40,10,10,0,20,20,0,0,40
7,2,5,2022,October,25,10,5,0,15,45,0,0,60
7,2,6,2022,October,30,5,20,0,15,30,0,0,45
7,2,7,2022,October,30,10,10,0,20,30,0,0,50
7,2,8,2022,October,2,10,3,5,20,60,0,0,85
7,2,9,2022,October,44,15,20,0,11,20,0,0,31
7,2,10,2022,October,35,5,10,0,20,30,0,0,50
7,3,1,2022,October,10,10,20,0,15,45,0,0,60
7,3,2,2022,October,25,5,15,0,10,45,0,0,55
7,3,3,2022,October,45,10,15,0,15,15,0,0,30
7,3,4,2022,October,25,5,10,0,25,35,0,0,60
7,3,5,2022,October,30,10,5,0,35,20,0,0,55
7,3,6,2022,October,20,15,5,0,15,45,0,0,60
7,3,7,2022,October,30,15,5,0,15,35,0,0,50
7,3,8,2022,October,40,10,10,0,20,20,0,0,40
7,3,9,2022,October,35,10,10,0,25,20,0,0,45
7,3,10,2022,October,40,10,15,0,15,20,0,0,35
7,4,1,2022,October,35,5,15,0,25,20,0,0,45
7,4,2,2022,October,65,5,5,0,20,5,0,0,25
7,4,3,2022,October,25,15,5,0,50,5,0,0,55
7,4,4,2022,October,20,10,5,0,30,35,0,0,65
7,4,5,2022,October,40,10,5,0,25,20,0,0,45
7,4,6,2022,October,53,10,2,0,20,15,0,0,35
7,4,7,2022,October,55,10,5,0,20,10,0,0,30
7,4,8,2022,October,20,20,5,0,35,20,0,0,55
7,4,9,2022,October,45,15,5,0,15,20,0,0,35
7,4,10,2022,October,44,20,1,0,25,20,0,0,45
8,1,1,2022,October,50,5,10,0,10,25,0,0,35
8,1,2,2022,October,43,5,2,0,40,10,0,0,50
8,1,3,2022,October,20,10,0,0,45,25,0,0,70
8,1,4,2022,October,10,10,0,0,5,75,0,0,80
8,1,5,2022,October,5,5,0,0,0,90,0,0,90
8,1,6,2022,October,5,5,0,0,20,70,0,0,90
8,1,7,2022,October,5,5,0,0,80,10,0,0,90
8,1,8,2022,October,10,5,0,0,65,20,0,0,85
8,1,9,2022,October,50,5,5,0,30,10,0,0,40
8,1,10,2022,October,45,5,15,0,30,5,0,0,35
8,2,1,2022,October,40,5,10,0,25,20,0,0,45
8,2,2,2022,October,45,10,5,0,20,20,0,0,40
8,2,3,2022,October,70,5,5,0,10,10,0,0,20
8,2,4,2022,October,45,5,5,0,25,20,0,0,45
8,2,5,2022,October,30,5,5,0,40,20,0,0,60
8,2,6,2022,October,35,5,5,0,40,15,0,0,55
8,2,7,2022,October,45,5,5,0,20,25,0,0,45
8,2,8,2022,October,30,5,5,0,35,25,0,0,60
8,2,9,2022,October,20,15,5,0,45,15,0,0,60
8,2,10,2022,October,55,5,5,0,10,25,0,0,35
8,3,1,2022,October,25,5,25,0,15,30,0,0,45
8,3,2,2022,October,65,5,20,0,10,20,0,0,30
8,3,3,2022,October,15,5,25,5,11,39,0,0,55
8,3,4,2022,October,15,10,10,0,10,55,0,0,65
8,3,5,2022,October,15,15,10,10,10,40,0,0,60
8,3,6,2022,October,20,10,10,5,25,30,0,0,60
8,3,7,2022,October,15,10,10,0,15,50,0,0,65
8,3,8,2022,October,15,5,30,5,15,30,0,0,50
8,3,9,2022,October,15,15,20,0,5,45,0,0,50
8,3,10,2022,October,15,10,15,10,20,30,0,0,60
8,4,1,2022,October,30,5,15,35,0,15,0,0,50
8,4,2,2022,October,20,15,10,0,20,35,0,0,55
8,4,3,2022,October,10,30,43,10,7,0,0,0,17
8,4,4,2022,October,10,15,20,5,25,25,0,0,55
8,4,5,2022,October,20,5,25,0,15,35,0,0,50
8,4,6,2022,October,20,10,20,0,20,30,0,0,50
8,4,7,2022,October,15,5,40,0,20,20,0,0,40
8,4,8,2022,October,15,10,30,15,15,15,0,0,45
8,4,9,2022,October,35,5,10,15,25,10,0,0,50
8,4,10,2022,October,5,5,68,5,2,15,0,0,22
9,1,1,2022,October,10,5,5,0,25,55,0,0,80
9,1,2,2022,October,10,10,10,0,20,50,0,0,70
9,1,3,2022,October,5,10,10,5,25,45,0,0,75
9,1,4,2022,October,5,10,5,0,10,70,0,0,80
9,1,5,2022,October,10,10,5,1,30,44,0,0,75
9,1,6,2022,October,15,5,5,0,25,50,0,0,75
9,1,7,2022,October,10,10,10,0,20,50,0,0,70
9,1,8,2022,October,10,10,5,0,25,50,0,0,75
9,1,9,2022,October,10,10,20,0,30,30,0,0,60
9,1,10,2022,October,10,5,10,0,15,60,0,0,75
9,2,1,2022,October,10,5,35,0,20,30,0,0,50
9,2,2,2022,October,10,5,25,5,20,35,0,0,60
9,2,3,2022,October,15,10,15,0,15,45,0,0,60
9,2,4,2022,October,20,10,20,10,35,5,0,0,50
9,2,5,2022,October,15,10,15,0,25,35,0,0,60
9,2,6,2022,October,10,10,25,0,35,20,0,0,55
9,2,7,2022,October,25,10,15,1,24,25,0,0,50
9,2,8,2022,October,20,15,10,0,30,25,0,0,55
9,2,9,2022,October,15,10,15,0,40,20,0,0,60
9,2,10,2022,October,15,10,20,5,25,25,0,0,55
9,3,1,2022,October,10,15,25,10,20,20,0,0,50
9,3,2,2022,October,15,10,5,0,40,30,0,0,70
9,3,3,2022,October,10,15,2,0,53,20,0,0,73
9,3,4,2022,October,15,5,10,20,15,35,0,0,70
9,3,5,2022,October,15,5,15,0,25,40,0,0,65
9,3,6,2022,October,15,10,15,10,20,30,0,0,60
9,3,7,2022,October,15,5,10,20,10,40,0,0,70
9,3,8,2022,October,30,10,15,5,20,20,0,0,45
9,3,9,2022,October,20,10,10,15,20,25,0,0,60
9,3,10,2022,October,20,15,5,10,15,35,0,0,60
9,4,1,2022,October,10,10,25,0,30,25,0,0,55
9,4,2,2022,October,15,10,20,5,20,30,0,0,55
9,4,3,2022,October,15,10,25,0,15,35,0,0,50
9,4,4,2022,October,20,10,20,0,30,20,0,0,50
9,4,5,2022,October,20,15,15,0,15,35,0,0,50
9,4,6,2022,October,20,15,20,0,20,25,0,0,45
9,4,7,2022,October,10,15,15,0,30,30,0,0,60
9,4,8,2022,October,20,10,20,0,30,20,0,0,50
9,4,9,2022,October,20,15,15,0,25,25,0,0,50
9,4,10,2022,October,20,10,10,0,20,40,0,0,60
10,1,1,2022,October,10,5,35,0,45,5,0,0,50
10,1,2,2022,October,5,10,55,0,15,15,0,0,30
10,1,3,2022,October,5,5,45,0,25,20,0,0,45
10,1,4,2022,October,10,5,45,0,35,5,0,0,40
10,1,5,2022,October,5,10,25,0,20,40,0,0,60
10,1,6,2022,October,10,5,30,0,45,10,0,0,55
10,1,7,2022,October,20,10,25,0,40,5,0,0,45
10,1,8,2022,October,5,5,55,0,20,15,0,0,35
10,1,9,2022,October,5,10,30,0,35,20,0,0,55
10,1,10,2022,October,5,10,30,0,30,25,0,0,55
10,2,1,2022,October,5,15,61,0,17,2,0,0,19
10,2,2,2022,October,15,5,45,0,20,15,0,0,35
10,2,3,2022,October,5,10,50,0,30,5,0,0,35
10,2,4,2022,October,5,5,15,10,45,20,0,0,75
10,2,5,2022,October,20,10,35,0,30,5,0,0,35
10,2,6,2022,October,10,5,45,0,25,15,0,0,40
10,2,7,2022,October,10,5,45,0,30,10,0,0,40
10,2,8,2022,October,5,15,25,10,25,20,0,0,55
10,2,9,2022,October,5,5,33,0,55,2,0,0,57
10,2,10,2022,October,5,10,45,0,30,10,0,0,40
10,3,1,2022,October,15,5,35,0,35,10,0,0,45
10,3,2,2022,October,2,3,65,0,25,5,0,0,30
10,3,3,2022,October,5,10,35,0,30,20,0,0,50
10,3,4,2022,October,5,10,35,0,45,5,0,0,50
10,3,5,2022,October,10,10,35,0,35,10,0,0,45
10,3,6,2022,October,5,5,45,0,25,20,0,0,45
10,3,7,2022,October,15,5,40,0,30,10,0,0,40
10,3,8,2022,October,5,10,50,0,30,5,0,0,35
10,3,9,2022,October,5,10,55,0,25,5,0,0,30
10,3,10,2022,October,5,15,35,0,25,20,0,0,45
10,4,1,2022,October,5,5,60,0,10,20,0,0,30
10,4,2,2022,October,25,5,35,0,25,10,0,0,35
10,4,3,2022,October,20,10,15,15,35,5,0,0,55
10,4,4,2022,October,5,5,20,0,25,45,0,0,70
10,4,5,2022,October,5,5,20,0,55,15,0,0,70
10,4,6,2022,October,15,5,20,0,30,30,0,0,60
10,4,7,2022,October,10,15,50,0,15,10,0,0,25
10,4,8,2022,October,5,5,45,0,35,10,0,0,45
10,4,9,2022,October,10,5,35,0,30,20,0,0,50
10,4,10,2022,October,5,25,2,0,53,15,0,0,68
11,1,1,2022,October,25,15,0,0,60,0,0,0,60
11,1,2,2022,October,20,25,1,0,43,0,0,0,43
11,1,3,2022,October,10,25,20,0,40,5,0,0,45
11,1,4,2022,October,10,15,10,0,60,5,0,0,65
11,1,5,2022,October,15,20,0,0,65,0,0,0,65
11,1,6,2022,October,25,20,15,0,40,0,0,0,40
11,1,7,2022,October,10,20,20,0,50,0,0,0,50
11,1,8,2022,October,15,20,10,0,55,0,0,0,55
11,1,9,2022,October,20,15,20,0,45,0,0,0,45
11,1,10,2022,October,15,25,25,0,20,15,0,0,35
11,2,1,2022,October,35,20,15,0,30,0,0,0,30
11,2,2,2022,October,30,5,55,0,0,10,0,0,10
11,2,3,2022,October,35,15,10,0,15,25,0,0,40
11,2,4,2022,October,45,5,10,0,10,30,0,0,40
11,2,5,2022,October,30,10,40,0,0,20,0,0,20
11,2,6,2022,October,30,10,35,0,20,5,0,0,25
11,2,7,2022,October,5,10,50,0,35,0,0,0,35
11,2,8,2022,October,10,25,20,0,30,15,0,0,45
11,2,9,2022,October,10,15,45,0,25,5,0,0,30
11,2,10,2022,October,40,20,5,0,30,5,0,0,35
11,3,1,2022,October,20,20,20,0,30,10,0,0,40
11,3,2,2022,October,5,20,35,0,40,0,0,0,40
11,3,3,2022,October,20,30,5,0,45,0,0,0,45
11,3,4,2022,October,5,30,30,0,35,0,0,0,35
11,3,5,2022,October,25,10,30,0,35,0,0,0,35
11,3,6,2022,October,20,40,5,0,35,0,0,0,35
11,3,7,2022,October,35,25,0,0,20,20,0,0,40
11,3,8,2022,October,10,15,20,0,40,15,0,0,55
11,3,9,2022,October,15,35,5,0,45,0,0,0,45
11,3,10,2022,October,5,65,5,0,25,0,0,0,25
11,4,1,2022,October,10,20,0,0,70,30,0,0,100
11,4,2,2022,October,20,20,0,0,60,0,0,0,60
11,4,3,2022,October,20,15,0,0,64,1,0,0,65
11,4,4,2022,October,10,20,0,0,70,0,0,0,70
11,4,5,2022,October,25,20,0,0,55,0,0,0,55
11,4,6,2022,October,5,50,0,0,45,0,0,0,45
11,4,7,2022,October,15,35,0,0,50,0,0,0,50
11,4,8,2022,October,15,20,0,0,65,0,0,0,65
11,4,9,2022,October,25,20,0,0,55,0,0,0,55
11,4,10,2022,October,5,25,0,0,70,0,0,0,70
12,1,1,2022,October,10,10,25,0,55,0,0,0,55
12,1,2,2022,October,15,5,45,0,25,10,0,0,35
12,1,3,2022,October,20,5,45,0,15,15,0,0,30
12,1,4,2022,October,10,5,55,0,20,10,0,0,30
12,1,5,2022,October,15,10,40,0,30,5,0,0,35
12,1,6,2022,October,25,5,35,0,20,15,0,0,35
12,1,7,2022,October,20,5,40,0,20,15,0,0,35
12,1,8,2022,October,15,10,15,5,30,25,0,0,60
12,1,9,2022,October,15,5,30,25,15,10,0,0,50
12,1,10,2022,October,20,10,50,0,15,5,0,0,20
12,2,1,2022,October,10,5,50,0,30,5,0,0,35
12,2,2,2022,October,5,5,40,0,25,25,0,0,50
12,2,3,2022,October,15,15,25,0,20,25,0,0,45
12,2,4,2022,October,5,10,30,0,45,10,0,0,55
12,2,5,2022,October,5,15,50,0,25,5,0,0,30
12,2,6,2022,October,15,5,55,0,20,5,0,0,25
12,2,7,2022,October,10,15,45,0,25,5,0,0,30
12,2,8,2022,October,5,5,30,0,55,5,0,0,60
12,2,9,2022,October,20,5,40,0,30,5,0,0,35
12,2,10,2022,October,5,5,55,0,30,5,0,0,35
12,3,1,2022,October,15,10,45,0,20,10,0,0,30
12,3,2,2022,October,10,10,25,0,54,1,0,0,55
12,3,3,2022,October,10,15,35,0,40,0,0,0,40
12,3,4,2022,October,15,10,25,0,30,20,0,0,50
12,3,5,2022,October,10,5,30,0,50,5,0,0,55
12,3,6,2022,October,10,10,30,0,30,20,0,0,50
12,3,7,2022,October,15,5,55,0,20,5,0,0,25
12,3,8,2022,October,5,15,30,0,45,5,0,0,50
12,3,9,2022,October,5,10,20,0,55,10,0,0,65
12,3,10,2022,October,5,10,40,0,25,20,0,0,45
12,4,1,2022,October,10,10,35,0,30,15,0,0,45
12,4,2,2022,October,15,5,45,0,20,15,0,0,35
12,4,3,2022,October,10,5,60,0,15,10,0,0,25
12,4,4,2022,October,10,5,60,0,15,10,0,0,25
12,4,5,2022,October,10,10,60,0,15,5,0,0,20
12,4,6,2022,October,10,10,35,5,25,15,0,0,45
12,4,7,2022,October,10,5,50,0,20,15,0,0,35
12,4,8,2022,October,15,10,50,0,20,5,0,0,25
12,4,9,2022,October,15,10,35,0,15,25,0,0,40
