site,replicate,latitude,longitude,biome,elevation,country,province,locality,collector,method
5,2,-32.3967450018972,19.0869209636003,Mountain Fynbos,688.713013,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
5,3,-32.4005320295691,19.0915620233864,Mountain Fynbos,685.317383,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
5,4,-32.4012439884245,19.0905479807407,Mountain Fynbos,678.770752,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
6,1,-32.4240249954164,19.1650050133467,Mountain Fynbos,916.396362,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
6,2,-32.4241460300982,19.1626579966396,Mountain Fynbos,928.035156,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
6,3,-32.423032997176,19.1615670081228,Mountain Fynbos,919,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
6,4,-32.421841006726,19.1609469987452,Mountain Fynbos,930.052246,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
7,1,-32.4587089754641,19.2397330328822,Mountain Fynbos,1148.238647,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
7,2,-32.4567880108953,19.2371560167521,Mountain Fynbos,1171.886963,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
7,3,-32.45565100573,19.2361439857632,Mountain Fynbos,1183.61792,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
7,4,-32.4540400039405,19.2352969944477,Mountain Fynbos,1197.421753,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
8,1,-32.4345649871975,19.2168009839952,Mountain Fynbos,1321.175781,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
8,2,-32.4346570204943,19.2158170323819,Mountain Fynbos,1327.046875,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
8,3,-32.4348140135407,19.2140659689903,Mountain Fynbos,1346.564331,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
8,4,-32.4347180407494,19.2126050032675,Mountain Fynbos,1353.495361,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
9,1,-32.3931420408189,19.1521930228919,Mountain Fynbos,1531.602783,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
9,2,-32.3918610345572,19.1508939955384,Mountain Fynbos,1539.686523,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
9,3,-32.3904699739069,19.1499610058963,Mountain Fynbos,1545.284668,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
9,4,-32.3881760146469,19.1484550293535,Mountain Fynbos,1556.874634,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
10,1,-32.3552959877998,19.1525510139763,Mountain Fynbos,1608.988525,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
10,2,-32.3552819900215,19.1534300241619,Mountain Fynbos,1648.619141,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
10,3,-32.3544550314546,19.1536890249699,Mountain Fynbos,1653.310913,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
10,4,-32.3535780329257,19.1528499964625,Mountain Fynbos,1612.94104,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
11,1,-32.3556030169129,19.165153959766,Mountain Fynbos,1841.95752,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
11,2,-32.3538019973785,19.1628930252045,Mountain Fynbos,1881.574585,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
11,3,-32.3550700116903,19.1615810059011,Mountain Fynbos,1923.259766,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
11,4,-32.356329979375,19.1644079703838,Mountain Fynbos,1832.560669,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
12,1,-32.3498200066388,19.1675169859082,Mountain Fynbos,1658.346191,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
12,2,-32.3505700193346,19.1675319895148,Mountain Fynbos,1650.244385,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
12,3,-32.3519680369645,19.1677759867162,Mountain Fynbos,1655.527954,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
12,4,-32.3538529593498,19.1677960194647,Mountain Fynbos,1667.026855,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
13,1,-32.3477820307016,19.1708499658853,Mountain Fynbos,1562.300781,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
13,2,-32.3472139891237,19.1718869749457,Mountain Fynbos,1529.98999,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
13,3,-32.349004028365,19.1706150211394,Mountain Fynbos,1571.685547,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
13,4,-32.3491200339049,19.1699380148202,Mountain Fynbos,1582.203003,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
14,1,-32.3458899836987,19.1389610152692,Mountain Fynbos,1268.886597,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
14,2,-32.3454689607024,19.1378789953887,Mountain Fynbos,1273.400024,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
14,3,-32.3445290140808,19.13828400895,Mountain Fynbos,1282.653687,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
14,4,-32.3468340374529,19.1363499686122,Mountain Fynbos,1295.870239,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
15,1,-32.3321969714016,19.1410020086914,Mountain Fynbos,1138.148315,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
15,2,-32.3326559644192,19.1423420235515,Mountain Fynbos,1139.348755,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
15,3,-32.3312029615045,19.1422039736062,Mountain Fynbos,1130.409424,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
15,4,-32.3324220255017,19.1453360393643,Mountain Fynbos,1138.104126,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
16,1,-32.3110620025545,19.1706099919975,Mountain Fynbos,933.246887,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
16,2,-32.3106600064784,19.1723260190338,Mountain Fynbos,925.777588,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
16,3,-32.31046596542,19.1739899944514,Mountain Fynbos,922.255493,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
16,4,-32.310220040381,19.1752190329134,Mountain Fynbos,928.283508,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
17,1,-32.2794670052826,19.2192550376058,Succulent Karoo,517.15564,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
17,2,-32.280141999945,19.2199899628758,Succulent Karoo,525.988464,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
17,3,-32.2793400194496,19.2199499811977,Succulent Karoo,539.61261,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
17,4,-32.2785750031471,19.2194250226021,Succulent Karoo,555.380249,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
