label,site,replicate,year,Acanthoscelis sp 1,Carab sp 1,Carab sp 2,Carab sp 3,Carab sp 4,Carab sp 6,Carabid sp 5,Graphipterus lineolatus,Hystrichopus mnizechi cf.,Microlestia sp 1,Passalidius sp 1,Thermophilum decemguttatum
Oct02 11.4,11,4,2002,0,0,0,0,6,0,0,0,0,0,0,0
Oct02 12.1,12,1,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 12.2,12,2,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 12.3,12,3,2002,0,0,0,0,0,0,0,0,0,0,0,1
Oct02 12.4,12,4,2002,0,1,0,0,0,0,0,0,0,0,0,0
Oct02 13.1,13,1,2002,0,0,0,0,0,0,0,0,0,0,0,1
Oct02 13.2,13,2,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 13.3,13,3,2002,0,0,0,0,0,0,0,0,0,0,0,2
Oct02 13.4,13,4,2002,0,0,0,0,0,0,0,0,0,0,0,1
Oct02 14.1,14,1,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 14.2,14,2,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 14.3,14,3,2002,0,1,0,0,4,0,0,0,0,0,0,0
Oct02 14.4,14,4,2002,0,1,0,0,4,0,0,0,0,0,0,0
Oct02 15.1,15,1,2002,0,0,0,0,0,0,0,0,0,0,0,1
Oct02 15.2,15,2,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 15.3,15,3,2002,0,3,0,2,0,0,0,0,0,0,0,0
Oct02 15.4,15,4,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 16.1,16,1,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 16.2,16,2,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 16.3,16,3,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 16.4,16,4,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 17.1,17,1,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 17.2,17,2,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 17.3,17,3,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 17.4,17,4,2002,0,0,0,0,0,1,0,0,0,0,0,0
Oct03 1.1,1,1,2003,5,0,0,0,0,0,0,0,0,0,0,0
Oct03 1.2,1,2,2003,13,0,0,0,0,0,0,0,0,0,0,0
Oct03 1.3,1,3,2003,3,0,0,0,0,0,0,0,0,0,0,0
Oct03 1.4,1,4,2003,4,0,0,0,0,0,0,0,0,0,0,0
Oct03 2.1,2,1,2003,0,0,0,0,0,0,0,0,0,0,1,3
Oct03 2.2,2,2,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 2.3,2,3,2003,0,0,0,0,0,0,0,0,0,0,5,0
Oct03 2.4,2,4,2003,0,0,0,0,0,0,0,0,0,0,1,0
Oct03 3.1,3,1,2003,0,0,0,0,0,0,0,1,0,0,0,0
Oct03 3.2,3,2,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 3.3,3,3,2003,0,0,0,4,0,0,0,1,0,0,0,0
Oct03 3.4,3,4,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 4.1,4,1,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 4.2,4,2,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 4.3,4,3,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 4.4,4,4,2003,0,0,0,0,0,0,0,0,0,0,0,2
Oct03 5.1,5,1,2003,0,0,0,0,0,0,0,0,0,0,0,5
Oct03 5.2,5,2,2003,0,0,0,0,1,0,0,0,0,0,0,1
Oct03 5.3,5,3,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 5.4,5,4,2003,0,0,0,0,0,0,0,0,0,0,0,3
Oct03 6.1,6,1,2003,0,0,0,1,0,0,0,0,0,1,0,6
Oct03 6.2,6,2,2003,0,0,0,0,1,0,0,0,0,1,0,9
Oct03 6.3,6,3,2003,0,0,0,0,0,0,0,0,0,0,0,11
Oct03 6.4,6,4,2003,0,0,0,0,0,0,0,0,0,2,0,13
Oct03 7.1,7,1,2003,0,0,0,0,0,0,0,2,0,3,0,12
Oct03 7.2,7,2,2003,0,0,0,0,0,0,0,0,0,1,0,16
Oct03 7.3,7,3,2003,0,0,0,0,0,0,3,1,0,0,0,12
Oct03 7.4,7,4,2003,0,0,0,0,0,0,0,0,0,0,0,5
Oct03 8.1,8,1,2003,0,0,0,0,0,0,0,0,0,0,0,21
Oct03 8.2,8,2,2003,0,0,0,0,0,0,0,0,0,0,0,10
Oct03 8.3,8,3,2003,0,0,0,0,0,0,0,0,0,0,0,18
Oct03 8.4,8,4,2003,0,0,0,0,0,0,0,0,0,0,0,24
Oct03 9.1,9,1,2003,0,0,0,0,1,0,0,0,0,0,0,34
Oct03 9.2,9,2,2003,0,0,0,0,0,0,0,0,0,0,0,33
Oct03 9.3,9,3,2003,0,0,0,0,0,0,0,0,0,0,0,10
Oct03 9.4,9,4,2003,0,0,0,0,0,0,0,0,0,0,0,21
Oct03 10.1,10,1,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 10.2,10,2,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 10.3,10,3,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 10.4,10,4,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 11.1,11,1,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 11.2,11,2,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 11.3,11,3,2003,0,0,0,0,0,0,0,0,6,0,0,0
Oct03 11.4,11,4,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 12.1,12,1,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 12.2,12,2,2003,0,0,0,0,0,0,0,0,0,0,0,1
Oct03 12.3,12,3,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 12.4,12,4,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 13.1,13,1,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 13.2,13,2,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 13.3,13,3,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 13.4,13,4,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 14.1,14,1,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 14.2,14,2,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 14.3,14,3,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 14.4,14,4,2003,0,0,0,1,21,0,0,0,0,0,0,0
Oct03 15.1,15,1,2003,0,0,0,1,0,0,0,0,0,0,0,0
Oct03 15.2,15,2,2003,0,0,0,0,0,0,0,0,0,0,0,1
Oct03 15.3,15,3,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 15.4,15,4,2003,0,0,0,1,0,0,0,0,0,0,0,0
Oct03 16.1,16,1,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 16.2,16,2,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 16.3,16,3,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 16.4,16,4,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 17.1,17,1,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 17.2,17,2,2003,0,0,0,1,0,0,0,0,0,0,0,0
Oct03 17.3,17,3,2003,0,0,0,0,0,0,0,0,0,0,0,0
Oct03 17.4,17,4,2003,0,0,0,0,0,0,0,0,0,0,0,0
