Year,Elevation,Replicate,Pitfall trap,Anthia decemguttata,Stenocara dentata,Zophosis longicornis
2002,1100 W,4,10,1,0,4
2002,1300 W,1,2,1,0,3
2002,1300 W,1,3,1,0,0
2002,1300 W,1,7,0,0,1
2002,1300 W,1,8,0,0,4
2002,1300 W,2,1,2,2,0
2002,1300 W,2,2,1,0,0
2002,1300 W,2,3,1,0,3
2002,1300 W,2,4,0,0,1
2002,1300 W,2,5,0,0,2
2002,1300 W,2,6,0,1,2
2002,1300 W,2,7,1,0,5
2002,1300 W,2,8,4,0,0
2002,1300 W,2,9,1,0,1
2002,1300 W,3,1,2,0,6
2002,1300 W,3,2,2,1,3
2002,1300 W,3,3,2,2,1
2002,1300 W,3,4,2,2,1
2002,1300 W,3,5,0,1,3
2002,1300 W,3,6,2,1,7
2002,1300 W,3,7,0,0,3
2002,1300 W,3,8,0,0,3
2002,1300 W,3,9,2,0,6
2002,1300 W,3,10,2,0,4
2002,1300 W,4,1,0,0,3
2002,1300 W,4,2,2,0,2
2002,1300 W,4,3,2,0,3
2002,1300 W,4,4,0,0,1
2002,1300 W,4,5,2,2,3
2002,1300 W,4,6,0,0,2
2002,1300 W,4,7,2,0,3
2002,1300 W,4,8,1,1,6
2002,1300 W,4,9,2,0,3
2002,1300 W,4,10,0,0,3
2002,1500 W,1,2,3,1,3
2002,1500 W,1,3,4,0,10
2002,1500 W,1,4,1,0,2
2002,1500 W,1,5,3,1,2
2002,1500 W,1,6,3,0,5
2002,1500 W,1,7,4,0,6
2002,1500 W,1,8,0,1,3
2002,1500 W,1,9,2,0,3
2002,1500 W,1,10,1,0,2
2002,1500 W,2,1,0,0,2
2002,1500 W,2,2,3,0,0
2002,1500 W,2,3,2,1,5
2002,1500 W,2,4,3,1,1
2002,1500 W,2,5,3,0,0
2002,1500 W,2,6,3,0,1
2002,1500 W,2,7,2,0,1
2002,1500 W,2,8,0,0,1
2002,1500 W,2,9,2,0,0
2002,1500 W,2,10,4,2,0
2002,1500 W,3,1,0,5,6
2002,1500 W,3,2,3,1,4
2002,1500 W,3,3,0,0,4
2002,1500 W,3,4,2,0,1
2002,1500 W,3,5,2,0,3
2002,1500 W,3,6,5,2,6
2002,1500 W,3,7,2,1,5
2002,1500 W,3,8,1,0,4
2002,1500 W,3,9,1,0,2
2002,1500 W,3,10,1,0,2
2002,1500 W,4,1,2,1,0
2002,1500 W,4,2,2,2,3
2002,1500 W,4,3,4,3,6
2002,1500 W,4,4,1,3,6
2002,1500 W,4,5,1,4,8
2002,1500 W,4,6,2,0,7
2002,1500 W,4,7,1,1,3
2002,1500 W,4,8,1,1,3
2002,1500 W,4,9,4,5,7
2002,1500 W,4,10,5,2,5
2002,1700 W,1,2,0,0,2
2002,1700 W,1,7,0,0,1
2002,1700 W,1,8,0,0,1
2002,1700 W,1,9,0,1,1
2002,1700 W,1,10,0,1,4
2002,1700 W,2,1,0,1,3
2002,1700 W,2,2,0,4,5
2002,1700 W,2,3,0,0,1
2002,1700 W,2,5,0,0,1
2002,1700 W,2,6,0,0,2
2002,1700 W,2,7,0,0,2
2002,1700 W,2,8,0,0,4
2002,1700 W,2,10,0,3,6
2002,1700 W,3,1,0,0,2
2002,1700 W,3,2,0,0,1
2002,1700 W,3,3,0,0,3
2002,1700 W,3,4,0,0,1
2002,1700 W,3,5,0,0,3
2002,1700 W,3,6,0,0,4
2002,1700 W,3,7,0,1,4
2002,1700 W,3,8,0,0,5
2002,1700 W,3,10,0,1,2
2002,1700 W,4,1,0,1,0
2002,1700 W,4,2,0,1,2
2002,1700 W,4,3,0,0,1
2002,1700 W,4,4,0,0,5
2002,1700 W,4,5,0,0,2
2002,1700 W,4,6,0,0,9
2002,1700 W,4,7,0,0,2
2002,1700 W,4,9,0,0,4
2002,1700 W,4,10,0,0,1
2002,1700 E,1,1,0,1,1
2002,1700 E,1,2,0,3,0
2002,1700 E,1,3,0,2,1
2002,1700 E,1,5,0,2,2
2002,1700 E,1,6,0,3,3
2002,1700 E,1,7,0,8,0
2002,1700 E,1,8,0,5,0
2002,1700 E,1,9,0,1,1
2002,1700 E,1,10,0,3,0
2002,1700 E,2,1,0,0,3
2002,1700 E,2,2,0,0,3
2002,1700 E,2,3,0,0,3
2002,1700 E,2,4,0,3,5
2002,1700 E,2,5,0,0,2
2002,1700 E,2,6,0,0,2
2002,1700 E,2,7,0,0,3
2002,1700 E,2,8,0,2,2
2002,1700 E,3,1,0,2,3
2002,1700 E,3,2,0,5,1
2002,1700 E,3,3,0,2,2
2002,1700 E,3,4,0,3,0
2002,1700 E,3,6,0,4,3
2002,1700 E,3,7,0,1,0
2002,1700 E,3,8,0,4,1
2002,1700 E,3,9,1,3,1
2002,1700 E,3,10,0,1,0
2002,1700 E,4,1,0,13,3
2002,1700 E,4,3,0,1,0
2002,1700 E,4,4,0,2,0
2002,1700 E,4,5,0,0,1
2002,1700 E,4,6,0,0,2
2002,1700 E,4,7,0,3,0
2002,1700 E,4,8,0,1,2
2002,1700 E,4,9,0,3,0
2002,1700 E,4,10,0,1,2
2002,1500 E,1,1,0,1,1
2002,1500 E,1,2,0,0,4
2002,1500 E,1,3,0,0,3
2002,1500 E,1,5,1,0,3
2002,1500 E,1,7,0,0,2
2002,1500 E,1,8,0,0,5
2002,1500 E,1,9,0,0,1
2002,1500 E,2,1,0,0,4
2002,1500 E,2,2,0,1,2
2002,1500 E,2,3,0,0,4
2002,1500 E,2,4,0,1,1
2002,1500 E,2,5,0,1,5
2002,1500 E,2,6,0,0,11
2002,1500 E,2,7,0,0,2
2002,1500 E,2,8,0,1,2
2002,1500 E,2,9,0,0,5
2002,1500 E,3,1,0,0,1
2002,1500 E,3,2,1,3,0
2002,1500 E,3,3,1,2,0
2002,1500 E,3,4,0,2,0
2002,1500 E,3,5,0,1,3
2002,1500 E,3,6,0,1,1
2002,1500 E,3,7,0,1,0
2002,1500 E,3,8,0,1,3
2002,1500 E,3,9,0,3,0
2002,1500 E,4,2,0,0,1
2002,1500 E,4,3,0,1,2
2002,1500 E,4,4,0,0,1
2002,1500 E,4,5,0,1,4
2002,1500 E,4,6,0,1,1
2002,1500 E,4,7,1,0,0
2002,1500 E,4,9,0,0,1
2002,1500 E,4,10,0,0,1
2002,1100 E,1,10,1,0,0
2002,900 E,1,4,0,0,2
2002,900 E,1,7,0,0,1
2002,900 E,1,9,0,0,1
2002,900 E,1,10,0,0,1
2002,900 E,2,1,0,0,1
2002,900 E,2,2,0,0,2
2002,900 E,2,3,0,0,4
2002,900 E,2,4,0,0,4
2002,900 E,2,5,0,0,2
2002,900 E,2,6,0,0,3
2002,900 E,2,9,0,0,3
2002,900 E,3,6,0,0,1
2002,900 E,3,8,0,0,1
2002,900 E,3,9,0,0,1
2002,900 E,4,1,0,0,2
2002,900 E,4,4,0,0,4
2002,900 E,4,7,0,0,5
2002,500 E,1,6,0,1,0
2002,500 E,1,10,0,0,1
2002,500 E,2,1,0,0,1
2002,500 E,2,2,0,0,1
2002,500 E,2,8,0,0,1
2002,500 E,2,9,0,0,1
2002,500 E,2,10,0,0,1
2003,200 W,1,1,0,0,1
2003,200 W,1,2,0,0,1
2003,200 W,1,3,0,0,2
2003,200 W,1,6,2,0,0
2003,200 W,1,7,1,0,0
2003,200 W,2,3,0,0,3
2003,200 W,2,6,0,0,2
2003,200 W,3,1,0,0,1
2003,200 W,3,4,0,0,1
2003,200 W,3,7,0,0,1
2003,200 W,3,10,0,0,1
2003,200 W,4,3,0,0,4
2003,200 W,4,4,0,0,1
2003,200 W,4,8,0,0,2
2003,200 W,4,9,0,0,3
2003,300 W,1,1,0,0,2
2003,300 W,1,2,0,0,1
2003,300 W,1,3,0,0,1
2003,300 W,1,4,0,0,2
2003,300 W,1,5,0,0,4
2003,300 W,1,8,0,0,2
2003,300 W,2,5,0,0,5
2003,300 W,2,7,0,0,1
2003,300 W,2,8,0,0,1
2003,300 W,3,1,0,0,1
2003,300 W,3,3,0,0,3
2003,300 W,4,6,0,0,1
2003,500 W,1,2,0,0,1
2003,500 W,1,7,0,0,2
2003,500 W,1,9,0,0,3
2003,500 W,1,10,0,0,2
2003,500 W,2,1,0,0,1
2003,500 W,2,5,0,0,2
2003,500 W,2,6,0,0,2
2003,500 W,2,8,0,0,2
2003,500 W,2,9,0,0,1
2003,500 W,3,1,0,0,1
2003,500 W,3,3,0,0,2
2003,500 W,3,4,0,0,1
2003,500 W,3,5,0,0,5
2003,500 W,3,7,0,0,2
2003,500 W,3,10,0,0,1
2003,500 W,4,9,0,0,1
2003,700 W,1,3,0,0,1
2003,700 W,1,4,0,0,1
2003,700 W,1,5,0,0,5
2003,700 W,1,6,3,0,0
2003,700 W,1,7,1,0,0
2003,700 W,1,8,1,0,0
2003,700 W,1,10,0,0,1
2003,700 W,2,1,0,0,1
2003,700 W,2,2,0,0,1
2003,700 W,2,3,0,0,2
2003,700 W,2,9,0,0,3
2003,700 W,3,9,0,0,1
2003,700 W,4,1,0,0,1
2003,700 W,4,6,0,0,2
2003,700 W,4,9,0,0,2
2003,700 W,4,10,2,0,0
2003,700 W,1,1,1,0,0
2003,900 W,1,1,2,0,0
2003,900 W,1,4,1,0,0
2003,900 W,1,6,1,0,0
2003,900 W,1,7,1,0,0
2003,900 W,1,9,0,0,1
2003,900 W,1,10,1,0,0
2003,900 W,2,1,2,0,1
2003,900 W,2,3,0,0,1
2003,900 W,2,4,0,0,1
2003,900 W,2,5,2,0,4
2003,900 W,2,7,0,0,2
2003,900 W,2,8,0,0,1
2003,900 W,2,9,0,0,5
2003,900 W,2,10,0,0,4
2003,900 W,3,2,0,0,2
2003,900 W,3,3,1,0,1
2003,900 W,3,4,1,0,4
2003,900 W,3,5,2,0,1
2003,900 W,3,6,1,0,3
2003,900 W,3,8,0,0,7
2003,900 W,3,9,1,0,4
2003,900 W,3,10,0,0,1
2003,900 W,4,1,3,0,4
2003,900 W,4,2,0,0,5
2003,900 W,4,3,1,0,1
2003,900 W,4,4,0,0,3
2003,900 W,4,5,0,0,1
2003,900 W,4,6,0,0,4
2003,900 W,4,8,1,0,0
2003,900 W,4,9,0,0,2
2003,900 W,4,10,1,0,4
2003,1100 W,1,1,2,0,1
2003,1100 W,1,2,1,0,6
2003,1100 W,1,3,0,0,4
2003,1100 W,1,4,0,0,4
2003,1100 W,1,5,1,0,2
2003,1100 W,1,6,1,1,1
2003,1100 W,1,8,4,0,4
2003,1100 W,1,9,1,0,5
2003,1100 W,1,10,0,1,4
2003,1100 W,2,1,1,0,6
2003,1100 W,2,2,0,0,4
2003,1100 W,2,3,0,5,4
2003,1100 W,2,4,1,2,3
2003,1100 W,2,5,2,0,4
2003,1100 W,2,6,2,0,2
2003,1100 W,2,7,1,1,3
2003,1100 W,2,8,0,0,3
2003,1100 W,2,9,1,0,3
2003,1100 W,2,10,1,1,2
2003,1100 W,3,1,0,2,3
2003,1100 W,3,2,0,0,2
2003,1100 W,3,3,1,0,2
2003,1100 W,3,4,0,0,4
2003,1100 W,3,5,0,2,2
2003,1100 W,3,6,0,0,1
2003,1100 W,3,7,0,0,3
2003,1100 W,3,8,0,0,5
2003,1100 W,3,9,0,0,3
2003,1100 W,3,10,1,0,5
2003,1100 W,4,1,0,1,2
2003,1100 W,4,2,0,1,5
2003,1100 W,4,3,0,0,3
2003,1100 W,4,4,0,0,3
2003,1100 W,4,5,0,0,1
2003,1100 W,4,6,0,2,4
2003,1100 W,4,7,0,0,3
2003,1100 W,4,8,0,1,1
2003,1100 W,4,9,0,1,2
2003,1100 W,4,10,0,0,6
2003,1300 W,1,1,0,0,3
2003,1300 W,1,6,3,0,0
2003,1300 W,1,7,2,0,0
2003,1300 W,1,9,1,0,2
2003,1300 W,1,10,1,0,2
2003,1300 W,2,1,1,0,10
2003,1300 W,2,2,0,2,5
2003,1300 W,2,3,1,0,5
2003,1300 W,2,4,0,2,1
2003,1300 W,2,5,0,2,0
2003,1300 W,2,6,1,0,2
2003,1300 W,2,7,0,0,3
2003,1300 W,2,8,1,1,7
2003,1300 W,2,9,1,0,1
2003,1300 W,2,10,1,2,5
2003,1300 W,3,1,2,3,4
2003,1300 W,3,2,2,2,3
2003,1300 W,3,3,0,2,0
2003,1300 W,3,4,0,2,6
2003,1300 W,3,5,0,2,7
2003,1300 W,3,6,0,1,5
2003,1300 W,3,7,0,1,2
2003,1300 W,3,8,2,2,9
2003,1300 W,3,9,0,0,5
2003,1300 W,3,10,0,2,7
2003,1300 W,4,1,0,2,2
2003,1300 W,4,2,2,2,2
2003,1300 W,4,3,2,1,4
2003,1300 W,4,4,2,2,5
2003,1300 W,4,5,2,2,3
2003,1300 W,4,6,0,2,4
2003,1300 W,4,7,0,2,1
2003,1300 W,4,8,0,0,2
2003,1300 W,4,9,2,2,3
2003,1300 W,4,10,0,2,4
2003,1500 W,1,1,1,0,4
2003,1500 W,1,2,1,2,2
2003,1500 W,1,3,2,0,4
2003,1500 W,1,4,4,0,3
2003,1500 W,1,5,0,0,4
2003,1500 W,1,6,2,0,7
2003,1500 W,1,7,2,0,2
2003,1500 W,1,8,0,3,8
2003,1500 W,1,9,2,0,4
2003,1500 W,1,10,2,0,9
2003,1500 W,2,1,2,0,3
2003,1500 W,2,2,2,0,0
2003,1500 W,2,3,2,2,1
2003,1500 W,2,4,2,0,2
2003,1500 W,2,5,0,0,5
2003,1500 W,2,6,2,0,8
2003,1500 W,2,7,0,0,3
2003,1500 W,2,8,2,0,0
2003,1500 W,2,9,2,2,5
2003,1500 W,2,10,4,2,0
2003,1500 W,3,1,1,1,6
2003,1500 W,3,2,1,2,6
2003,1500 W,3,3,0,0,5
2003,1500 W,3,4,2,0,0
2003,1500 W,3,5,0,1,0
2003,1500 W,3,6,0,0,3
2003,1500 W,3,7,2,1,0
2003,1500 W,3,8,0,0,2
2003,1500 W,3,9,2,2,10
2003,1500 W,3,10,0,1,4
2003,1500 W,4,1,2,2,1
2003,1500 W,4,2,0,1,4
2003,1500 W,4,3,2,0,0
2003,1500 W,4,4,0,1,0
2003,1500 W,4,6,2,0,0
2003,1500 W,4,7,2,0,0
2003,1500 W,4,8,2,0,3
2003,1500 W,4,9,2,1,0
2003,1500 W,4,10,0,1,1
2003,1700 W,1,1,0,0,2
2003,1700 W,1,3,0,0,1
2003,1700 W,1,4,0,1,0
2003,1700 W,1,5,0,3,0
2003,1700 W,1,7,0,2,1
2003,1700 W,1,10,0,1,0
2003,1700 W,2,1,0,0,1
2003,1700 W,2,2,0,0,1
2003,1700 W,2,3,0,0,2
2003,1700 W,2,6,0,0,2
2003,1700 W,2,7,0,0,1
2003,1700 W,2,10,0,0,1
2003,1700 W,3,3,0,1,0
2003,1700 W,3,6,0,0,1
2003,1700 W,3,9,0,0,1
2003,1700 W,4,1,0,0,1
2003,1700 W,4,3,0,0,1
2003,1700 W,4,9,0,0,3
2003,1700 E,1,2,0,2,0
2003,1700 E,1,3,0,1,0
2003,1700 E,1,4,0,1,3
2003,1700 E,1,5,0,1,2
2003,1700 E,1,6,0,0,2
2003,1700 E,1,7,0,0,1
2003,1700 E,1,8,0,2,2
2003,1700 E,1,9,0,2,1
2003,1700 E,1,10,0,1,0
2003,1700 E,2,1,0,0,2
2003,1700 E,2,2,1,2,3
2003,1700 E,2,3,0,2,4
2003,1700 E,2,5,0,0,1
2003,1700 E,2,6,0,0,1
2003,1700 E,2,8,0,2,2
2003,1700 E,3,1,0,0,1
2003,1700 E,3,2,0,2,1
2003,1700 E,3,8,0,0,3
2003,1700 E,3,9,0,2,3
2003,1700 E,3,10,0,0,2
2003,1700 E,4,1,0,1,2
2003,1700 E,4,2,0,1,0
2003,1700 E,4,4,0,0,4
2003,1700 E,4,5,0,0,2
2003,1700 E,4,8,0,4,3
2003,1700 E,4,9,0,0,3
2003,1700 E,4,10,0,0,2
2003,1500 E,1,1,0,0,3
2003,1500 E,1,2,0,0,3
2003,1500 E,1,4,0,2,4
2003,1500 E,1,5,0,0,2
2003,1500 E,1,6,0,0,2
2003,1500 E,1,7,0,0,3
2003,1500 E,1,8,0,0,3
2003,1500 E,1,10,0,0,1
2003,1500 E,2,1,0,0,2
2003,1500 E,2,2,0,0,1
2003,1500 E,2,5,0,0,7
2003,1500 E,2,6,0,0,2
2003,1500 E,2,7,0,0,3
2003,1500 E,2,10,0,0,2
2003,1500 E,3,2,0,1,1
2003,1500 E,3,3,0,0,7
2003,1500 E,3,4,0,0,2
2003,1500 E,3,5,0,2,2
2003,1500 E,3,6,0,1,0
2003,1500 E,3,7,0,0,1
2003,1500 E,3,8,0,1,3
2003,1500 E,3,9,0,1,0
2003,1500 E,3,10,0,3,1
2003,1500 E,4,3,0,0,5
2003,1500 E,4,4,0,4,0
2003,1500 E,4,5,0,0,2
2003,1500 E,4,6,0,1,1
2003,1500 E,4,8,0,0,3
2003,1500 E,4,9,0,0,3
2003,1500 E,4,10,0,0,2
2003,1100 E,2,2,1,0,0
2003,900 E,1,3,0,0,2
2003,900 E,1,4,0,0,2
2003,900 E,1,5,0,0,2
2003,900 E,1,6,0,0,1
2003,900 E,2,1,0,0,1
2003,900 E,2,2,0,0,1
2003,900 E,2,3,0,0,2
2003,900 E,2,6,0,0,2
2003,900 E,2,7,0,0,1
2003,900 E,2,9,0,0,1
2003,900 E,3,1,0,0,2
2003,900 E,3,6,0,0,1
2003,900 E,3,7,0,0,2
2003,900 E,3,8,0,0,2
2003,900 E,4,3,0,0,3
2003,900 E,4,4,0,0,5
2003,900 E,4,7,0,0,2
2003,900 E,4,9,0,0,2
2003,500 E,1,4,0,2,0
2003,500 E,1,7,0,2,0
2003,500 E,1,10,0,0,1
2003,500 E,2,4,0,1,1
2003,500 E,2,7,0,0,1
2003,500 E,2,8,0,1,4
2003,500 E,2,10,0,1,0
2003,500 E,3,3,0,0,1
2003,500 E,3,5,0,0,2
2003,500 E,3,6,0,0,1
2003,500 E,3,7,0,1,2
2003,500 E,3,8,0,2,0
2003,500 E,4,2,0,0,2
2003,500 E,4,7,0,0,1
2003,500 E,4,8,0,0,2
2003,500 E,4,9,0,0,1
2004,200 W,1,9,0,0,1
2022,200 W,1,1,0,0,1
2022,200 W,1,2,0,0,2
2022,200 W,1,3,0,0,2
2022,200 W,1,6,0,0,1
2022,200 W,1,7,0,0,1
2022,200 W,1,8,0,0,4
2022,200 W,1,9,0,0,3
2022,200 W,1,10,0,0,8
2022,200 W,2,3,0,0,1
2022,200 W,2,9,0,0,1
2022,200 W,3,1,0,0,1
2022,200 W,3,6,0,0,1
2022,200 W,4,6,0,0,2
2022,200 W,4,8,0,0,3
2022,300 W,1,1,0,0,6
2022,300 W,1,2,0,0,1
2022,300 W,1,3,0,0,3
2022,300 W,1,4,0,0,1
2022,300 W,1,5,0,0,4
2022,300 W,1,6,0,0,2
2022,300 W,1,8,0,0,1
2022,300 W,1,10,0,0,4
2022,300 W,2,2,0,0,1
2022,300 W,2,3,0,0,3
2022,300 W,2,4,0,1,1
2022,300 W,2,5,0,0,3
2022,300 W,2,6,0,0,2
2022,300 W,2,9,0,0,4
2022,300 W,2,10,0,0,2
2022,300 W,3,1,0,3,1
2022,300 W,3,2,0,0,1
2022,300 W,3,4,0,0,1
2022,300 W,3,5,0,0,3
2022,300 W,3,7,0,2,0
2022,300 W,3,9,0,0,2
2022,300 W,4,3,0,1,0
2022,300 W,4,5,0,0,1
2022,300 W,4,8,0,0,1
2022,300 W,4,9,0,0,2
2022,300 W,4,10,0,0,1
2022,500 W,1,9,0,0,3
2022,500 W,2,1,0,0,1
2022,500 W,2,5,0,0,1
2022,500 W,2,6,0,0,1
2022,500 W,2,7,0,0,2
2022,500 W,2,9,0,0,2
2022,500 W,3,1,0,0,1
2022,500 W,3,2,0,0,1
2022,500 W,3,4,0,0,1
2022,500 W,3,5,1,0,0
2022,500 W,3,6,2,0,3
2022,500 W,3,7,0,0,4
2022,500 W,3,8,0,0,4
2022,500 W,3,9,0,0,2
2022,500 W,3,10,1,0,0
2022,500 W,4,2,0,0,1
2022,500 W,4,4,0,0,2
2022,500 W,4,5,0,0,4
2022,500 W,4,6,0,0,3
2022,500 W,4,7,0,0,6
2022,500 W,4,8,0,0,3
2022,500 W,4,10,1,0,2
2022,700 W,1,2,0,0,2
2022,700 W,1,4,0,0,1
2022,700 W,1,5,1,0,0
2022,700 W,1,8,1,0,1
2022,700 W,1,10,1,0,1
2022,700 W,2,3,0,0,1
2022,700 W,2,4,2,0,1
2022,700 W,2,5,1,0,0
2022,700 W,2,6,1,0,1
2022,700 W,2,9,0,0,2
2022,700 W,2,10,0,0,1
2022,700 W,3,9,0,0,1
2022,700 W,4,8,0,0,1
2022,900 W,1,2,0,0,2
2022,900 W,1,5,2,0,0
2022,900 W,1,6,1,0,0
2022,900 W,1,7,0,0,1
2022,900 W,1,9,1,0,1
2022,900 W,1,10,1,0,0
2022,900 W,2,1,0,0,1
2022,900 W,2,2,0,0,4
2022,900 W,2,3,1,0,2
2022,900 W,2,4,0,0,4
2022,900 W,2,5,0,0,3
2022,900 W,2,6,2,0,2
2022,900 W,2,7,0,0,1
2022,900 W,2,8,0,0,2
2022,900 W,2,10,0,0,2
2022,900 W,3,1,0,0,1
2022,900 W,3,2,4,0,1
2022,900 W,3,3,0,0,2
2022,900 W,3,4,1,0,3
2022,900 W,3,5,1,0,1
2022,900 W,3,6,0,0,2
2022,900 W,3,7,0,0,4
2022,900 W,3,8,0,0,2
2022,900 W,3,10,2,0,1
2022,900 W,4,1,0,0,3
2022,900 W,4,2,1,0,0
2022,900 W,4,3,0,0,2
2022,900 W,4,4,1,0,6
2022,900 W,4,5,1,0,0
2022,900 W,4,6,0,0,3
2022,900 W,4,7,0,0,2
2022,900 W,4,9,0,0,2
2022,900 W,4,10,0,0,4
2022,1100 W,1,1,0,1,1
2022,1100 W,1,2,0,1,4
2022,1100 W,1,3,0,1,1
2022,1100 W,1,4,1,0,4
2022,1100 W,1,5,2,0,2
2022,1100 W,1,6,0,0,2
2022,1100 W,1,7,3,0,4
2022,1100 W,1,8,0,0,4
2022,1100 W,1,9,2,1,4
2022,1100 W,1,10,2,1,0
2022,1100 W,2,1,2,2,3
2022,1100 W,2,2,5,3,4
2022,1100 W,2,3,0,0,11
2022,1100 W,2,4,2,0,1
2022,1100 W,2,5,7,1,3
2022,1100 W,2,6,1,0,3
2022,1100 W,2,7,3,0,3
2022,1100 W,2,8,3,0,4
2022,1100 W,2,9,5,1,3
2022,1100 W,2,10,5,0,0
2022,1100 W,3,1,3,3,1
2022,1100 W,3,2,2,5,3
2022,1100 W,3,3,0,1,10
2022,1100 W,3,4,4,4,0
2022,1100 W,3,5,0,0,2
2022,1100 W,3,6,5,2,3
2022,1100 W,3,7,7,1,1
2022,1100 W,3,8,1,0,4
2022,1100 W,3,9,1,0,3
2022,1100 W,3,10,1,0,3
2022,1100 W,4,1,3,5,21
2022,1100 W,4,2,1,1,0
2022,1100 W,4,3,0,0,3
2022,1100 W,4,4,0,2,22
2022,1100 W,4,5,1,0,2
2022,1100 W,4,6,2,0,11
2022,1100 W,4,7,1,0,7
2022,1100 W,4,8,2,1,15
2022,1100 W,4,9,0,0,8
2022,1100 W,4,10,1,1,8
2022,1300 W,1,1,0,0,5
2022,1300 W,1,2,0,0,1
2022,1300 W,1,4,1,0,0
2022,1300 W,1,5,1,0,0
2022,1300 W,1,7,2,0,2
2022,1300 W,2,1,0,4,1
2022,1300 W,2,2,0,0,2
2022,1300 W,2,3,0,3,1
2022,1300 W,2,5,1,1,1
2022,1300 W,2,6,1,0,3
2022,1300 W,2,7,2,0,1
2022,1300 W,2,8,1,0,0
2022,1300 W,2,9,1,0,0
2022,1300 W,2,10,0,1,1
2022,1300 W,3,1,1,4,0
