site,replicate,year,season,tothits,maxhgt
13,1,2022,October,11.5714285714286,2.75
13,2,2022,October,8.28571428571429,1.75
13,3,2022,October,8.14285714285714,2.75
13,4,2022,October,8,2.75
14,1,2022,October,18.8571428571429,4.5
14,2,2022,October,11.5714285714286,3
14,3,2022,October,8.85714285714286,2.25
14,4,2022,October,7.57142857142857,2.25
15,1,2022,October,14.2857142857143,6.5
15,2,2022,October,12.7142857142857,4.75
15,3,2022,October,9.42857142857143,4
15,4,2022,October,7.28571428571429,2.25
16,1,2022,October,9.71428571428571,3.25
16,2,2022,October,7.71428571428571,2.75
16,3,2022,October,9.42857142857143,3.25
16,4,2022,October,11.5714285714286,4
17,1,2022,October,6.42857142857143,4.25
17,2,2022,October,2.42857142857143,1
17,3,2022,October,3.71428571428571,2.25
17,4,2022,October,3,2.25
1,1,2023,October,5,2.75
1,2,2023,October,5.14285714285714,2
1,3,2023,October,5.71428571428571,2.25
1,4,2023,October,6.14285714285714,1.5
2,1,2023,October,18.8571428571429,5.5
2,2,2023,October,10.7142857142857,5
2,3,2023,October,16.5714285714286,4.5
2,4,2023,October,10,4.75
3,1,2023,October,7.28571428571429,3.75
3,2,2023,October,21.5714285714286,4.25
3,3,2023,October,9.57142857142857,3.5
3,4,2023,October,11,4.5
4,1,2023,October,17.8571428571429,5.5
4,2,2023,October,15.8571428571429,4.5
4,3,2023,October,16.2857142857143,3.5
4,4,2023,October,3.28571428571429,4.75
5,1,2023,October,22.2857142857143,6.5
5,2,2023,October,18.8571428571429,3.5
5,3,2023,October,19.2857142857143,6.25
5,4,2023,October,14.1428571428571,5.75
6,1,2023,October,6,3.25
6,2,2023,October,16.2857142857143,4.25
6,3,2023,October,10.7142857142857,3.25
6,4,2023,October,10.8571428571429,3.75
7,1,2023,October,10.4285714285714,2.25
7,2,2023,October,10,2.5
7,3,2023,October,13.1428571428571,3
7,4,2023,October,13,3
8,1,2023,October,14.1428571428571,2.5
8,2,2023,October,11.2857142857143,3.25
8,3,2023,October,12.8571428571429,3
8,4,2023,October,10.2857142857143,2.5
9,1,2023,October,14.8571428571429,3
9,2,2023,October,13.1428571428571,2
9,3,2023,October,11,2.25
9,4,2023,October,18.8571428571429,3
10,1,2023,October,10.5714285714286,3.25
10,2,2023,October,7.71428571428571,2.75
10,3,2023,October,8.28571428571429,2.75
10,4,2023,October,8.42857142857143,2.5
11,1,2023,October,9.28571428571429,2.25
11,2,2023,October,6.28571428571429,1.75
11,3,2023,October,11.1428571428571,3.25
11,4,2023,October,10.1428571428571,2
12,1,2023,October,5.57142857142857,2
12,2,2023,October,11.4285714285714,3
12,3,2023,October,8.85714285714286,3
12,4,2023,October,11,2.75
13,1,2023,October,11.7142857142857,2.75
13,2,2023,October,12,2.75
13,3,2023,October,11.7142857142857,2.75
13,4,2023,October,13.2857142857143,3
14,1,2023,October,19.5714285714286,5.25
14,2,2023,October,13.2857142857143,4.25
14,3,2023,October,12.4285714285714,3
14,4,2023,October,10.8571428571429,3.75
15,1,2023,October,16.1428571428571,5.75
15,2,2023,October,17.5714285714286,5
15,3,2023,October,14.1428571428571,2.75
15,4,2023,October,8.57142857142857,2.25
16,1,2023,October,15.4285714285714,4.25
16,2,2023,October,12.1428571428571,4
16,3,2023,October,10.5714285714286,3
16,4,2023,October,14.8571428571429,3.75
17,1,2023,October,6.57142857142857,4.5
17,2,2023,October,6.57142857142857,3
17,3,2023,October,3.85714285714286,2.25
17,4,2023,October,4.85714285714286,2.5
1,1,2023,March,3.42857142857143,1.5
1,2,2023,March,4.71428571428571,2
1,3,2023,March,3.57142857142857,1.75
1,4,2023,March,4,2
2,1,2023,March,17.4285714285714,6
2,2,2023,March,12,5.75
2,3,2023,March,14.2857142857143,5.5
2,4,2023,March,11.4285714285714,6.25
3,1,2023,March,3.85714285714286,3.5
3,2,2023,March,14.4285714285714,4.5
3,3,2023,March,9.71428571428571,3.75
3,4,2023,March,15.7142857142857,6.5
4,1,2023,March,18.2857142857143,5.5
4,2,2023,March,16.7142857142857,5.75
4,3,2023,March,12.7142857142857,4
4,4,2023,March,3.10714285714286,5.75
5,1,2023,March,17.8571428571429,5.75
5,2,2023,March,23.8571428571429,4.25
5,3,2023,March,12.5714285714286,6
5,4,2023,March,24.1428571428571,7
6,1,2023,March,7.71428571428571,2.75
6,2,2023,March,15.5714285714286,4.25
6,3,2023,March,13.2857142857143,3.5
6,4,2023,March,8.28571428571429,3.75
7,1,2023,March,11,2.5
7,2,2023,March,10,2.5
7,3,2023,March,11.2857142857143,2.75
7,4,2023,March,12,2.5
8,1,2023,March,16.2857142857143,4.25
8,2,2023,March,9.42857142857143,2.75
8,3,2023,March,13.5714285714286,3.25
8,4,2023,March,8.85714285714286,2.25
9,1,2023,March,14,2.5
9,2,2023,March,13.1428571428571,2.5
9,3,2023,March,11.4285714285714,2.5
9,4,2023,March,15.7142857142857,3.25
10,1,2023,March,13.5714285714286,3
10,2,2023,March,14,3.25
10,3,2023,March,9.85714285714286,3
10,4,2023,March,12.5714285714286,3
11,1,2023,March,9,2
11,2,2023,March,6.85714285714286,2
11,3,2023,March,9.42857142857143,3
11,4,2023,March,10.5714285714286,2.5
12,1,2023,March,6.28571428571429,2.5
12,2,2023,March,9.42857142857143,3
12,3,2023,March,9,3
12,4,2023,March,6.14285714285714,2.25
13,1,2023,March,12.7142857142857,3
13,2,2023,March,11.1428571428571,2.5
13,3,2023,March,12.8571428571429,3.25
13,4,2023,March,11.4285714285714,3.5
14,1,2023,March,25.7142857142857,4.25
14,2,2023,March,13.5714285714286,4
14,3,2023,March,11.8571428571429,3.25
14,4,2023,March,11.8571428571429,3.5
15,1,2023,March,16.1428571428571,5.5
15,2,2023,March,14.4285714285714,5.25
15,3,2023,March,13.2857142857143,4.5
15,4,2023,March,8.85714285714286,3.25
16,1,2023,March,13.8571428571429,3.75
16,2,2023,March,14.1428571428571,4
16,3,2023,March,12.1428571428571,3.25
16,4,2023,March,15.4285714285714,4
17,1,2023,March,3.42857142857143,3.75
17,2,2023,March,3.71428571428571,2.5
17,3,2023,March,3.85714285714286,3
17,4,2023,March,5,3.5
