ID,site,replicate,trap,year,label,anthia_decemguttata,stenocara_dentata,morphospecies_6
221,6,3,1,2023,6.3.1,1,0,1
225,6,3,5,2023,6.3.5,1,0,0
229,6,3,9,2023,6.3.9,1,0,3
230,6,3,10,2023,6.3.10,2,0,0
232,6,4,2,2023,6.4.2,0,0,3
233,6,4,3,2023,6.4.3,0,0,4
234,6,4,4,2023,6.4.4,0,0,4
235,6,4,5,2023,6.4.5,0,0,2
236,6,4,6,2023,6.4.6,1,0,3
238,6,4,8,2023,6.4.8,0,0,2
241,7,1,1,2023,7.1.1,3,0,0
243,7,1,3,2023,7.1.3,2,1,0
244,7,1,4,2023,7.1.4,4,0,0
245,7,1,5,2023,7.1.5,1,0,0
247,7,1,7,2023,7.1.7,1,0,0
248,7,1,8,2023,7.1.8,1,0,3
249,7,1,9,2023,7.1.9,1,0,0
250,7,1,10,2023,7.1.10,0,1,0
251,7,2,1,2023,7.2.1,0,1,2
252,7,2,2,2023,7.2.2,4,0,1
253,7,2,3,2023,7.2.3,1,1,0
254,7,2,4,2023,7.2.4,0,1,0
255,7,2,5,2023,7.2.5,0,1,0
256,7,2,6,2023,7.2.6,0,1,1
257,7,2,7,2023,7.2.7,1,2,2
258,7,2,8,2023,7.2.8,3,1,0
259,7,2,9,2023,7.2.9,5,0,0
260,7,2,10,2023,7.2.10,1,0,4
261,7,3,1,2023,7.3.1,4,0,0
263,7,3,3,2023,7.3.3,2,2,5
264,7,3,4,2023,7.3.4,6,2,0
265,7,3,5,2023,7.3.5,2,1,0
266,7,3,6,2023,7.3.6,3,1,0
267,7,3,7,2023,7.3.7,3,0,3
268,7,3,8,2023,7.3.8,3,0,0
269,7,3,9,2023,7.3.9,3,1,8
270,7,3,10,2023,7.3.10,5,1,1
271,7,4,1,2023,7.4.1,1,2,14
272,7,4,2,2023,7.4.2,2,1,1
273,7,4,3,2023,7.4.3,1,0,5
274,7,4,4,2023,7.4.4,4,0,2
275,7,4,5,2023,7.4.5,3,1,4
276,7,4,6,2023,7.4.6,1,2,7
277,7,4,7,2023,7.4.7,0,0,1
278,7,4,8,2023,7.4.8,0,0,1
279,7,4,9,2023,7.4.9,0,1,0
280,7,4,10,2023,7.4.10,0,0,4
297,8,2,7,2023,8.2.7,1,0,0
303,8,3,3,2023,8.3.3,1,0,0
308,8,3,8,2023,8.3.8,1,0,0
309,8,3,9,2023,8.3.9,0,1,0
310,8,3,10,2023,8.3.10,1,2,0
311,8,4,1,2023,8.4.1,1,0,0
312,8,4,2,2023,8.4.2,1,0,0
313,8,4,3,2023,8.4.3,2,1,1
315,8,4,5,2023,8.4.5,2,2,0
316,8,4,6,2023,8.4.6,1,0,0
317,8,4,7,2023,8.4.7,0,1,1
318,8,4,8,2023,8.4.8,3,0,0
319,8,4,9,2023,8.4.9,2,1,0
320,8,4,10,2023,8.4.10,2,0,0
325,9,1,5,2023,9.1.5,1,0,0
331,9,2,1,2023,9.2.1,3,3,0
332,9,2,2,2023,9.2.2,1,3,0
333,9,2,3,2023,9.2.3,2,0,0
334,9,2,4,2023,9.2.4,1,2,0
336,9,2,6,2023,9.2.6,1,1,1
337,9,2,7,2023,9.2.7,1,0,0
338,9,2,8,2023,9.2.8,0,0,1
339,9,2,9,2023,9.2.9,2,0,0
341,9,3,1,2023,9.3.1,4,1,0
342,9,3,2,2023,9.3.2,3,0,0
343,9,3,3,2023,9.3.3,1,0,1
344,9,3,4,2023,9.3.4,1,0,0
345,9,3,5,2023,9.3.5,3,0,0
346,9,3,6,2023,9.3.6,1,0,0
350,9,3,10,2023,9.3.10,0,0,1
351,9,4,1,2023,9.4.1,1,0,0
354,9,4,4,2023,9.4.4,2,0,0
356,9,4,6,2023,9.4.6,0,1,0
357,9,4,7,2023,9.4.7,1,0,0
360,9,4,10,2023,9.4.10,1,0,0
361,10,1,1,2023,10.1.1,0,1,0
362,10,1,2,2023,10.1.2,0,1,0
363,10,1,3,2023,10.1.3,0,1,1
365,10,1,5,2023,10.1.5,1,5,1
366,10,1,6,2023,10.1.6,0,1,1
367,10,1,7,2023,10.1.7,0,2,0
368,10,1,8,2023,10.1.8,1,2,0
369,10,1,9,2023,10.1.9,1,1,0
370,10,1,10,2023,10.1.10,1,2,1
371,10,2,1,2023,10.2.1,0,1,1
375,10,2,5,2023,10.2.5,0,0,1
376,10,2,6,2023,10.2.6,1,2,0
377,10,2,7,2023,10.2.7,2,2,0
378,10,2,8,2023,10.2.8,3,4,2
379,10,2,9,2023,10.2.9,0,2,0
380,10,2,10,2023,10.2.10,0,2,0
381,10,3,1,2023,10.3.1,1,2,0
382,10,3,2,2023,10.3.2,0,3,0
383,10,3,3,2023,10.3.3,0,1,0
384,10,3,4,2023,10.3.4,0,0,2
385,10,3,5,2023,10.3.5,0,2,0
387,10,3,7,2023,10.3.7,0,1,1
388,10,3,8,2023,10.3.8,0,2,0
389,10,3,9,2023,10.3.9,1,1,1
390,10,3,10,2023,10.3.10,2,1,0
391,10,4,1,2023,10.4.1,0,3,0
392,10,4,2,2023,10.4.2,2,2,0
393,10,4,3,2023,10.4.3,3,0,1
394,10,4,4,2023,10.4.4,1,0,0
396,10,4,6,2023,10.4.6,2,0,0
397,10,4,7,2023,10.4.7,0,1,1
398,10,4,8,2023,10.4.8,1,0,0
399,10,4,9,2023,10.4.9,0,3,0
400,10,4,10,2023,10.4.10,0,1,0
441,12,1,1,2023,12.1.1,0,0,1
442,12,1,2,2023,12.1.2,1,2,1
443,12,1,3,2023,12.1.3,0,4,1
444,12,1,4,2023,12.1.4,2,4,0
445,12,1,5,2023,12.1.5,2,1,1
446,12,1,6,2023,12.1.6,0,2,0
447,12,1,7,2023,12.1.7,0,4,0
448,12,1,8,2023,12.1.8,3,2,0
451,12,2,1,2023,12.2.1,0,6,0
452,12,2,2,2023,12.2.2,0,4,1
454,12,2,4,2023,12.2.4,0,2,0
456,12,2,6,2023,12.2.6,0,2,0
457,12,2,7,2023,12.2.7,0,11,2
461,12,3,1,2023,12.3.1,0,1,0
462,12,3,2,2023,12.3.2,0,1,0
465,12,3,5,2023,12.3.5,0,3,0
466,12,3,6,2023,12.3.6,0,2,1
467,12,3,7,2023,12.3.7,0,2,0
468,12,3,8,2023,12.3.8,0,2,0
471,12,4,1,2023,12.4.1,0,4,0
473,12,4,3,2023,12.4.3,0,1,0
474,12,4,4,2023,12.4.4,0,1,0
475,12,4,5,2023,12.4.5,0,1,0
477,12,4,7,2023,12.4.7,0,3,1
478,12,4,8,2023,12.4.8,0,5,0
480,12,4,10,2023,12.4.10,0,1,0
482,13,1,2,2023,13.1.2,2,0,0
483,13,1,3,2023,13.1.3,1,1,0
489,13,1,9,2023,13.1.9,0,0,4
491,13,2,1,2023,13.2.1,1,0,0
492,13,2,2,2023,13.2.2,0,0,1
493,13,2,3,2023,13.2.3,1,0,1
494,13,2,4,2023,13.2.4,0,0,1
495,13,2,5,2023,13.2.5,1,2,0
496,13,2,6,2023,13.2.6,0,1,0
498,13,2,8,2023,13.2.8,1,0,0
499,13,2,9,2023,13.2.9,0,0,2
500,13,2,10,2023,13.2.10,0,0,2
503,13,3,3,2023,13.3.3,0,2,0
505,13,3,5,2023,13.3.5,0,1,0
508,13,3,8,2023,13.3.8,0,4,0
509,13,3,9,2023,13.3.9,0,0,1
510,13,3,10,2023,13.3.10,0,1,1
512,13,4,2,2023,13.4.2,0,2,0
513,13,4,3,2023,13.4.3,0,2,0
514,13,4,4,2023,13.4.4,0,2,1
515,13,4,5,2023,13.4.5,0,1,0
516,13,4,6,2023,13.4.6,0,2,0
565,15,1,5,2023,15.1.5,0,0,1
567,15,1,7,2023,15.1.7,0,0,1
568,15,1,8,2023,15.1.8,0,0,1
576,15,2,6,2023,15.2.6,1,0,0
578,15,2,8,2023,15.2.8,1,0,2
587,15,3,7,2023,15.3.7,0,0,1
601,16,1,1,2023,16.1.1,1,0,0
606,16,1,6,2023,16.1.6,0,0,3
607,16,1,7,2023,16.1.7,0,0,4
608,16,1,8,2023,16.1.8,0,0,1
610,16,1,10,2023,16.1.10,1,0,0
611,16,2,1,2023,16.2.1,0,0,1
612,16,2,2,2023,16.2.2,1,0,1
613,16,2,3,2023,16.2.3,0,0,3
614,16,2,4,2023,16.2.4,0,0,4
615,16,2,5,2023,16.2.5,1,0,2
616,16,2,6,2023,16.2.6,0,0,2
618,16,2,8,2023,16.2.8,0,0,2
619,16,2,9,2023,16.2.9,0,0,1
622,16,3,2,2023,16.3.2,3,0,0
624,16,3,4,2023,16.3.4,2,0,7
625,16,3,5,2023,16.3.5,1,0,1
626,16,3,6,2023,16.3.6,1,0,4
629,16,3,9,2023,16.3.9,1,0,1
630,16,3,10,2023,16.3.10,1,0,2
632,16,4,2,2023,16.4.2,0,0,1
633,16,4,3,2023,16.4.3,0,0,7
635,16,4,5,2023,16.4.5,0,0,1
636,16,4,6,2023,16.4.6,0,0,1
637,16,4,7,2023,16.4.7,3,0,11
638,16,4,8,2023,16.4.8,0,0,5
642,17,1,2,2023,17.1.2,0,1,0
643,17,1,3,2023,17.1.3,0,4,0
644,17,1,4,2023,17.1.4,0,1,0
647,17,1,7,2023,17.1.7,0,1,0
652,17,2,2,2023,17.2.2,0,0,1
653,17,2,3,2023,17.2.3,0,0,1
655,17,2,5,2023,17.2.5,0,2,0
656,17,2,6,2023,17.2.6,0,4,2
657,17,2,7,2023,17.2.7,0,2,0
658,17,2,8,2023,17.2.8,0,2,1
659,17,2,9,2023,17.2.9,0,2,0
661,17,3,1,2023,17.3.1,0,0,1
665,17,3,5,2023,17.3.5,0,0,1
667,17,3,7,2023,17.3.7,0,0,0
669,17,3,9,2023,17.3.9,0,0,1
670,17,3,10,2023,17.3.10,0,0,1
671,17,4,1,2023,17.4.1,0,1,0
674,17,4,4,2023,17.4.4,0,2,0
680,17,4,10,2023,17.4.10,0,2,0
