site,replicate,trap,year,bare_ground,litter,rock,vegetation
4,4,1,2002,20,0,20,60
4,4,2,2002,30,0,10,60
4,4,3,2002,20,0,15,65
4,4,4,2002,20,10,20,50
4,4,5,2002,50,0,0,50
4,4,6,2002,20,20,60,0
4,4,7,2002,20,20,60,0
4,4,8,2002,30,0,20,50
4,4,9,2002,20,10,30,40
4,4,10,2002,30,0,60,10
5,1,1,2002,45,0,15,40
5,1,2,2002,25,0,0,75
5,1,3,2002,40,0,5,55
5,1,4,2002,55,0,0,45
5,1,5,2002,20,0,0,80
5,1,6,2002,55,0,0,45
5,1,7,2002,30,0,25,45
5,1,8,2002,30,0,45,25
5,1,9,2002,20,0,0,80
5,1,10,2002,20,0,0,80
5,2,1,2002,10,0,35,55
5,2,2,2002,25,0,45,30
5,2,3,2002,10,0,20,70
5,2,4,2002,10,0,35,55
5,2,5,2002,20,0,20,60
5,2,6,2002,20,0,20,60
5,2,7,2002,40,0,50,10
5,2,8,2002,25,0,0,15
5,2,9,2002,20,0,20,60
5,2,10,2002,20,0,50,30
5,3,1,2002,30,0,45,25
5,3,2,2002,30,0,40,30
5,3,3,2002,30,0,55,15
5,3,4,2002,5,0,80,15
5,3,5,2002,5,20,65,10
5,3,6,2002,50,0,30,20
5,3,7,2002,15,0,25,60
5,3,8,2002,45,0,45,10
5,3,9,2002,15,0,55,30
5,3,10,2002,10,0,10,80
5,4,1,2002,40,0,10,20
5,4,2,2002,35,0,55,10
5,4,3,2002,10,10,30,50
5,4,4,2002,15,10,30,45
5,4,5,2002,20,0,35,45
5,4,6,2002,30,0,30,20
5,4,7,2002,10,20,45,25
5,4,8,2002,30,20,10,40
5,4,9,2002,10,10,45,35
5,4,10,2002,30,0,60,10
6,1,1,2002,90,0,0,10
6,1,2,2002,80,0,0,20
6,1,3,2002,75,0,0,25
6,1,4,2002,45,0,0,55
6,1,5,2002,25,0,0,75
6,1,6,2002,85,0,0,15
6,1,7,2002,50,30,0,20
6,1,8,2002,80,0,0,20
6,1,9,2002,80,0,0,20
6,1,10,2002,85,0,0,15
6,2,1,2002,20,0,25,55
6,2,2,2002,45,0,20,35
6,2,3,2002,20,0,45,35
6,2,4,2002,10,0,55,35
6,2,5,2002,15,0,55,30
6,2,6,2002,50,0,30,20
6,2,7,2002,20,0,40,40
6,2,8,2002,20,0,50,30
6,2,9,2002,20,0,40,30
6,2,10,2002,20,0,50,30
6,3,1,2002,35,0,20,45
6,3,2,2002,35,0,45,20
6,3,3,2002,30,0,15,55
6,3,4,2002,25,0,10,65
6,3,5,2002,65,0,0,35
6,3,6,2002,35,0,0,65
6,3,7,2002,50,0,0,50
6,3,8,2002,30,0,10,60
6,3,9,2002,10,0,30,60
6,3,10,2002,20,0,40,40
6,4,1,2002,30,0,20,50
6,4,2,2002,20,0,30,50
6,4,3,2002,25,0,25,50
6,4,4,2002,30,0,30,40
6,4,5,2002,25,0,30,45
6,4,6,2002,30,0,30,40
6,4,7,2002,70,0,10,20
6,4,8,2002,60,0,20,20
6,4,9,2002,30,0,30,40
6,4,10,2002,30,0,30,40
7,1,1,2002,25,0,0,75
7,1,2,2002,70,0,10,20
7,1,3,2002,15,0,15,70
7,1,4,2002,20,0,5,75
7,1,5,2002,35,0,25,40
7,1,6,2002,45,0,15,30
7,1,7,2002,55,0,10,35
7,1,8,2002,30,0,20,50
7,1,9,2002,55,0,10,35
7,1,10,2002,30,0,15,55
7,2,1,2002,50,0,35,15
7,2,2,2002,50,0,25,25
7,2,3,2002,50,0,25,25
7,2,4,2002,30,0,10,60
7,2,5,2002,45,0,30,25
7,2,6,2002,40,0,20,40
7,2,7,2002,40,0,40,20
7,2,8,2002,55,0,15,20
7,2,9,2002,60,0,20,20
7,2,10,2002,15,0,15,70
7,3,1,2002,60,0,10,30
7,3,2,2002,40,0,5,55
7,3,3,2002,30,0,30,40
7,3,4,2002,60,0,20,20
7,3,5,2002,45,10,25,20
7,3,6,2002,50,10,20,20
7,3,7,2002,30,0,10,60
7,3,8,2002,50,0,25,25
7,3,9,2002,30,0,50,20
7,3,10,2002,50,0,30,20
7,4,1,2002,30,0,40,30
7,4,2,2002,25,0,20,55
7,4,3,2002,20,0,15,65
7,4,4,2002,55,0,20,25
7,4,5,2002,65,0,10,25
7,4,6,2002,30,0,20,50
7,4,7,2002,30,0,20,50
7,4,8,2002,35,0,15,50
7,4,9,2002,20,0,40,40
7,4,10,2002,20,0,45,35
8,1,1,2002,70,0,5,25
8,1,2,2002,75,0,5,20
8,1,3,2002,60,5,15,20
8,1,4,2002,60,0,5,35
8,1,5,2002,60,10,0,30
8,1,6,2002,90,0,0,10
8,1,7,2002,45,10,0,45
8,1,8,2002,70,0,0,30
8,1,9,2002,60,0,5,35
8,1,10,2002,45,15,0,40
8,2,1,2002,60,0,20,20
8,2,2,2002,50,0,20,30
8,2,3,2002,60,0,20,20
8,2,4,2002,20,10,0,70
8,2,5,2002,60,0,0,40
8,2,6,2002,50,0,20,30
8,2,7,2002,65,0,15,20
8,2,8,2002,40,0,40,20
8,2,9,2002,50,25,15,10
8,2,10,2002,60,0,20,20
8,3,1,2002,45,0,20,35
8,3,2,2002,20,0,30,50
8,3,3,2002,20,0,15,65
8,3,4,2002,20,10,20,40
8,3,5,2002,40,0,20,40
8,3,6,2002,20,0,30,50
8,3,7,2002,30,15,40,15
8,3,8,2002,50,0,25,25
8,3,9,2002,50,0,30,20
8,3,10,2002,50,0,30,20
8,4,1,2002,60,10,0,30
8,4,2,2002,40,10,20,30
8,4,3,2002,30,0,30,40
8,4,4,2002,30,10,25,30
8,4,5,2002,10,10,40,40
8,4,6,2002,40,20,20,20
8,4,7,2002,30,0,40,30
8,4,8,2002,60,0,15,25
8,4,9,2002,25,0,20,40
8,4,10,2002,50,0,0,50
9,1,1,2002,10,0,20,70
9,1,2,2002,10,0,20,70
9,1,3,2002,10,0,15,75
9,1,4,2002,20,0,20,60
9,1,5,2002,15,0,20,65
9,1,6,2002,20,0,15,15
9,1,7,2002,25,0,25,50
9,1,8,2002,10,0,15,75
9,1,9,2002,10,0,25,65
9,1,10,2002,50,0,25,25
9,2,1,2002,20,0,20,60
9,2,2,2002,30,0,20,50
9,2,3,2002,40,0,30,30
9,2,4,2002,20,0,30,50
9,2,5,2002,15,0,25,60
9,2,6,2002,15,0,30,55
9,2,7,2002,20,0,30,50
9,2,8,2002,30,0,20,50
9,2,9,2002,30,0,20,50
9,2,10,2002,50,0,0,50
9,3,1,2002,15,0,35,50
9,3,2,2002,20,0,30,50
9,3,3,2002,30,0,20,50
9,3,4,2002,50,0,25,25
9,3,5,2002,30,0,20,50
9,3,6,2002,30,0,40,30
9,3,7,2002,30,0,20,50
9,3,8,2002,30,0,40,30
9,3,9,2002,30,10,20,40
9,3,10,2002,30,0,25,45
9,4,1,2002,40,0,30,30
9,4,2,2002,40,0,20,40
9,4,3,2002,35,0,20,35
9,4,4,2002,25,0,30,45
9,4,5,2002,50,0,20,30
9,4,6,2002,20,0,40,40
9,4,7,2002,30,0,15,55
9,4,8,2002,40,0,35,25
9,4,9,2002,30,0,50,20
9,4,10,2002,40,0,40,20
10,1,1,2002,10,0,40,50
10,1,2,2002,20,0,50,30
10,1,3,2002,10,0,30,60
10,1,4,2002,20,0,20,60
10,1,5,2002,20,0,15,65
10,1,6,2002,15,0,45,40
10,1,7,2002,25,0,45,30
10,1,8,2002,30,0,30,40
10,1,9,2002,50,0,25,25
10,1,10,2002,20,0,40,40
10,2,1,2002,10,0,25,65
10,2,2,2002,30,0,30,40
10,2,3,2002,40,0,30,30
10,2,4,2002,30,0,30,40
10,2,5,2002,30,0,40,30
10,2,6,2002,25,0,45,30
10,2,7,2002,30,0,45,25
10,2,8,2002,20,0,60,20
10,2,9,2002,20,0,60,20
10,2,10,2002,30,0,30,40
10,3,1,2002,40,0,25,35
10,3,2,2002,20,0,40,40
10,3,3,2002,30,0,30,40
10,3,4,2002,10,0,60,30
10,3,5,2002,20,0,50,30
10,3,6,2002,30,0,40,30
10,3,7,2002,30,0,30,40
10,3,8,2002,10,0,50,40
10,3,9,2002,10,0,50,40
10,3,10,2002,35,0,45,20
10,4,1,2002,10,0,40,50
10,4,2,2002,30,0,20,50
10,4,3,2002,30,0,15,55
10,4,4,2002,40,0,15,45
10,4,5,2002,30,0,10,60
10,4,6,2002,20,0,20,60
10,4,7,2002,25,0,15,60
10,4,8,2002,40,0,0,60
10,4,9,2002,40,0,0,60
10,4,10,2002,50,0,10,40
11,1,1,2002,60,0,30,10
11,1,2,2002,50,0,10,40
11,1,3,2002,55,0,30,15
11,1,4,2002,70,0,20,10
11,1,5,2002,55,0,30,15
11,1,6,2002,60,0,25,15
11,1,7,2002,40,0,60,0
11,1,8,2002,70,0,20,10
11,1,9,2002,80,0,0,20
11,1,10,2002,50,0,40,10
11,2,1,2002,85,0,5,10
11,2,2,2002,40,0,30,30
11,2,3,2002,60,0,30,10
11,2,4,2002,65,0,20,15
11,2,5,2002,50,0,35,15
11,2,6,2002,75,0,5,20
11,2,7,2002,75,0,5,20
11,2,8,2002,60,0,20,20
11,2,9,2002,65,0,15,20
11,2,10,2002,55,0,20,25
11,3,1,2002,0,0,30,70
11,3,2,2002,0,0,20,80
11,3,3,2002,10,0,0,90
11,3,4,2002,25,0,0,75
11,3,5,2002,50,0,15,35
11,3,6,2002,20,0,0,80
11,3,7,2002,40,0,40,20
11,3,8,2002,10,0,15,75
11,3,9,2002,10,0,75,15
11,3,10,2002,15,0,20,75
11,4,1,2002,80,0,0,20
11,4,2,2002,90,0,0,10
11,4,3,2002,90,0,0,10
11,4,4,2002,30,0,0,70
11,4,5,2002,30,0,0,70
11,4,6,2002,60,0,0,40
11,4,7,2002,80,0,0,20
11,4,8,2002,80,0,0,20
11,4,9,2002,80,0,0,20
11,4,10,2002,80,0,0,20
12,1,1,2002,10,0,60,30
12,1,2,2002,20,0,60,20
12,1,3,2002,35,0,60,15
12,1,4,2002,20,0,50,30
12,1,5,2002,30,0,40,20
12,1,6,2002,20,0,40,20
12,1,7,2002,40,0,40,20
12,1,8,2002,20,10,30,20
12,1,9,2002,15,0,70,15
12,1,10,2002,30,0,40,30
12,2,1,2002,20,0,40,40
12,2,2,2002,30,0,50,20
12,2,3,2002,20,0,30,50
12,2,4,2002,10,0,30,60
12,2,5,2002,20,0,40,40
12,2,6,2002,30,0,50,20
12,2,7,2002,15,0,25,60
12,2,8,2002,10,0,75,15
12,2,9,2002,20,0,60,20
12,2,10,2002,10,0,70,20
12,3,1,2002,50,0,25,25
12,3,2,2002,15,0,25,60
12,3,3,2002,30,0,30,40
12,3,4,2002,20,0,60,20
12,3,5,2002,10,0,60,30
12,3,6,2002,15,0,60,25
12,3,7,2002,10,0,55,35
12,3,8,2002,20,0,25,55
12,3,9,2002,30,0,30,40
12,3,10,2002,10,0,60,30
12,4,1,2002,10,0,70,20
12,4,2,2002,10,0,80,10
12,4,3,2002,15,0,25,10
12,4,4,2002,15,0,50,35
12,4,5,2002,20,0,55,25
12,4,6,2002,15,0,60,25
12,4,7,2002,20,0,50,30
12,4,8,2002,20,0,60,20
12,4,9,2002,20,0,50,30
12,4,10,2002,20,20,40,20
13,1,1,2002,50,0,15,30
13,1,2,2002,60,0,15,25
13,1,3,2002,60,0,10,30
13,1,4,2002,50,0,20,30
13,1,5,2002,40,0,10,50
13,1,6,2002,60,0,10,30
13,1,7,2002,60,0,0,40
13,1,8,2002,70,0,0,30
13,1,9,2002,60,0,0,40
13,1,10,2002,55,0,0,45
13,2,1,2002,70,0,0,30
13,2,2,2002,50,0,30,20
13,2,3,2002,50,0,30,20
13,2,4,2002,50,0,25,25
13,2,5,2002,40,0,40,20
13,2,6,2002,55,0,20,25
13,2,7,2002,70,0,10,20
13,2,8,2002,40,0,20,40
13,2,9,2002,35,0,20,45
13,2,10,2002,45,0,25,30
13,3,1,2002,45,0,25,30
13,3,2,2002,30,0,30,40
13,3,3,2002,40,0,40,20
13,3,4,2002,25,0,55,20
13,3,5,2002,20,0,55,25
13,3,6,2002,25,0,25,50
13,3,7,2002,30,0,50,20
13,3,8,2002,20,0,20,60
13,3,9,2002,40,0,20,40
13,3,10,2002,40,0,60,0
13,4,1,2002,50,0,30,20
13,4,2,2002,20,0,20,60
13,4,3,2002,20,0,40,40
13,4,4,2002,20,0,20,60
13,4,5,2002,20,0,40,40
13,4,6,2002,20,0,30,50
13,4,7,2002,30,0,50,20
13,4,8,2002,40,0,355,25
13,4,9,2002,50,0,20,30
13,4,10,2002,20,0,45,35
14,1,1,2002,30,0,0,70
14,1,2,2002,20,0,0,80
14,1,3,2002,60,0,10,30
14,1,4,2002,50,0,30,20
14,1,5,2002,15,0,40,45
14,1,6,2002,40,0,40,20
14,1,7,2002,35,0,30,15
14,1,8,2002,30,0,15,55
14,1,9,2002,25,0,0,75
14,1,10,2002,30,0,0,70
14,2,1,2002,60,0,20,20
14,2,2,2002,20,0,40,20
14,2,3,2002,50,0,0,50
14,2,4,2002,60,0,10,30
14,2,5,2002,15,0,60,25
14,2,6,2002,10,0,0,90
14,2,7,2002,60,0,0,40
14,2,8,2002,50,0,0,50
14,2,9,2002,60,0,15,25
14,2,10,2002,55,0,0,45
14,3,1,2002,30,0,60,10
14,3,2,2002,45,0,30,25
14,3,3,2002,60,0,10,30
14,3,4,2002,60,0,0,40
14,3,5,2002,60,0,20,20
14,3,6,2002,50,0,30,20
14,3,7,2002,45,0,15,40
14,3,8,2002,80,0,0,20
14,3,9,2002,40,0,30,30
14,3,10,2002,60,0,20,20
14,4,1,2002,70,0,0,30
14,4,2,2002,40,0,0,60
14,4,3,2002,40,0,0,60
14,4,4,2002,50,0,0,50
14,4,5,2002,60,0,0,40
14,4,6,2002,75,0,0,25
14,4,7,2002,65,0,0,35
14,4,8,2002,60,0,0,40
14,4,9,2002,75,0,0,25
14,4,10,2002,65,0,0,35
15,1,1,2002,55,30,0,15
15,1,2,2002,60,0,0,40
15,1,3,2002,55,0,0,45
15,1,4,2002,55,0,0,45
15,1,5,2002,55,0,0,45
15,1,6,2002,55,0,0,45
15,1,7,2002,60,0,0,40
15,1,8,2002,60,0,0,40
15,1,9,2002,70,0,0,30
15,1,10,2002,60,0,0,40
15,2,1,2002,70,0,0,30
15,2,2,2002,60,0,0,40
15,2,3,2002,20,0,0,80
15,2,4,2002,65,0,0,35
15,2,5,2002,70,0,0,25
15,2,6,2002,70,0,0,30
15,2,7,2002,80,0,0,20
15,2,8,2002,65,0,0,35
15,2,9,2002,50,0,0,50
15,2,10,2002,70,0,0,30
15,3,1,2002,70,0,0,30
15,3,2,2002,60,0,0,40
15,3,3,2002,70,0,0,30
15,3,4,2002,75,0,0,25
15,3,5,2002,70,0,0,30
15,3,6,2002,75,0,0,25
15,3,7,2002,60,0,0,40
15,3,8,2002,55,0,0,45
15,3,9,2002,65,0,0,35
15,3,10,2002,65,0,0,35
15,4,1,2002,90,0,0,10
15,4,2,2002,90,0,0,10
15,4,3,2002,95,0,0,5
15,4,4,2002,80,0,0,20
15,4,5,2002,80,0,0,20
15,4,6,2002,90,0,0,10
15,4,7,2002,70,10,0,20
15,4,8,2002,80,0,0,30
15,4,9,2002,80,0,0,20
15,4,10,2002,50,0,0,50
16,1,1,2002,65,0,15,20
16,1,2,2002,75,0,10,15
16,1,3,2002,75,0,5,20
16,1,4,2002,75,0,10,15
16,1,5,2002,70,0,20,10
16,1,6,2002,60,0,20,20
16,1,7,2002,65,0,25,20
16,1,8,2002,40,0,40,20
16,1,9,2002,70,0,20,10
16,1,10,2002,60,0,30,10
16,2,1,2002,65,0,15,20
16,2,2,2002,80,0,20,0
16,2,3,2002,80,0,0,20
16,2,4,2002,60,0,30,10
16,2,5,2002,35,0,45,20
16,2,6,2002,50,0,40,10
16,2,7,2002,80,0,5,15
16,2,8,2002,70,0,10,20
16,2,9,2002,80,0,0,20
16,2,10,2002,80,0,0,20
16,3,1,2002,70,0,20,10
16,3,2,2002,30,0,50,20
16,3,3,2002,30,0,50,20
16,3,4,2002,40,0,40,20
16,3,5,2002,40,0,50,10
16,3,6,2002,30,0,50,20
16,3,7,2002,35,0,50,15
16,3,8,2002,40,0,40,20
16,3,9,2002,35,0,45,20
16,3,10,2002,50,0,30,20
16,4,1,2002,50,0,10,40
16,4,2,2002,45,0,15,40
16,4,3,2002,60,0,10,30
16,4,4,2002,50,0,15,35
16,4,5,2002,60,0,20,20
16,4,6,2002,30,0,50,20
16,4,7,2002,60,0,20,20
16,4,8,2002,40,0,20,40
16,4,9,2002,20,0,30,40
16,4,10,2002,50,0,30,20
17,1,1,2002,40,0,50,10
17,1,2,2002,45,0,45,10
17,1,3,2002,45,0,55,0
17,1,4,2002,45,0,55,0
17,1,5,2002,45,0,45,10
17,1,6,2002,50,0,45,5
17,1,7,2002,40,0,55,5
17,1,8,2002,45,0,50,5
17,1,9,2002,45,0,40,15
17,1,10,2002,50,0,30,20
17,2,1,2002,50,0,40,10
17,2,2,2002,65,0,30,5
17,2,3,2002,65,0,15,20
17,2,4,2002,50,0,45,5
17,2,5,2002,65,0,15,20
17,2,6,2002,40,0,55,5
17,2,7,2002,50,0,30,20
17,2,8,2002,50,0,45,5
17,2,9,2002,30,0,60,10
17,2,10,2002,60,0,25,15
17,3,1,2002,25,0,70,5
17,3,2,2002,65,0,20,15
17,3,3,2002,30,0,65,5
17,3,4,2002,30,0,70,0
17,3,5,2002,25,0,70,5
17,3,6,2002,15,0,70,15
17,3,7,2002,15,0,80,5
17,3,8,2002,15,0,80,5
17,3,9,2002,35,0,60,5
17,3,10,2002,45,20,5,30
17,4,1,2002,35,0,50,15
17,4,2,2002,25,0,65,10
17,4,3,2002,25,0,70,5
17,4,4,2002,30,0,60,10
17,4,5,2002,20,0,60,20
17,4,6,2002,60,0,20,20
17,4,7,2002,45,0,50,5
17,4,8,2002,20,10,70,0
17,4,9,2002,20,0,50,30
17,4,10,2002,15,0,70,15
1,1,1,2022,85,10,0,5
1,1,2,2022,94,1,0,5
1,1,3,2022,90,5,0,5
1,1,4,2022,55,15,0,30
1,1,5,2022,55,10,0,35
1,1,6,2022,60,20,0,20
1,1,7,2022,20,15,0,65
1,1,8,2022,50,10,0,40
1,1,9,2022,35,30,0,35
1,1,10,2022,75,5,0,20
1,2,1,2022,25,20,0,55
1,2,2,2022,45,10,0,45
1,2,3,2022,45,30,0,25
1,2,4,2022,20,5,0,75
1,2,5,2022,45,10,0,45
1,2,6,2022,20,25,0,55
1,2,7,2022,25,15,0,60
1,2,8,2022,15,5,0,80
1,2,9,2022,20,10,0,70
1,2,10,2022,15,15,0,70
1,3,1,2022,75,10,0,15
1,3,2,2022,55,20,0,25
1,3,3,2022,5,5,0,90
1,3,4,2022,55,10,0,35
1,3,5,2022,65,5,0,30
1,3,6,2022,75,10,0,15
1,3,7,2022,85,5,0,10
1,3,8,2022,50,5,0,45
1,3,9,2022,75,10,0,15
1,3,10,2022,30,10,0,60
1,4,1,2022,45,10,0,45
1,4,2,2022,35,10,0,55
1,4,3,2022,10,10,0,80
1,4,4,2022,80,5,0,15
1,4,5,2022,60,10,0,30
1,4,6,2022,40,25,0,35
1,4,7,2022,60,15,0,25
1,4,8,2022,50,5,0,45
1,4,9,2022,35,10,0,55
1,4,10,2022,60,5,0,35
2,1,1,2022,60,20,0,20
2,1,2,2022,20,21,0,59
2,1,3,2022,39,20,0,41
2,1,4,2022,35,38,0,27
2,1,5,2022,35,39,0,26
2,1,6,2022,30,50,0,20
2,1,7,2022,30,40,0,30
2,1,8,2022,44,25,0,31
2,1,9,2022,22,42,0,36
2,1,10,2022,60,15,0,25
2,2,1,2022,10,19,30,41
2,2,2,2022,25,40,0,35
2,2,3,2022,25,55,0,20
2,2,4,2022,35,25,0,40
2,2,5,2022,54,30,0,16
2,2,6,2022,20,35,10,35
2,2,7,2022,45,55,0,0
2,2,8,2022,30,19,10,41
2,2,9,2022,60,5,0,35
2,2,10,2022,55,15,0,30
2,3,1,2022,54,10,0,36
2,3,2,2022,70,10,0,20
2,3,3,2022,69,10,0,21
2,3,4,2022,55,20,0,25
2,3,5,2022,49,20,0,31
2,3,6,2022,65,5,0,30
2,3,7,2022,59,15,0,26
2,3,8,2022,74,5,0,21
2,3,9,2022,22,22,0,56
2,3,10,2022,35,10,0,55
2,4,1,2022,75,10,0,15
2,4,2,2022,54,10,0,36
2,4,3,2022,50,10,0,40
2,4,4,2022,44,25,0,41
2,4,5,2022,55,25,0,20
2,4,6,2022,15,35,0,50
2,4,7,2022,45,20,0,35
2,4,8,2022,44,20,0,46
2,4,9,2022,20,25,0,55
2,4,10,2022,24,30,0,46
3,1,1,2022,25,20,35,20
3,1,2,2022,89,5,5,1
3,1,3,2022,80,15,5,0
3,1,4,2022,65,15,20,0
3,1,5,2022,55,5,5,35
3,1,6,2022,75,5,10,10
3,1,7,2022,15,10,20,55
3,1,8,2022,73,15,10,2
3,1,9,2022,55,10,5,30
3,1,10,2022,65,15,15,5
3,2,1,2022,43,2,20,35
3,2,2,2022,55,5,10,30
3,2,3,2022,45,5,5,45
3,2,4,2022,75,2,1,22
3,2,5,2022,60,5,2,33
3,2,6,2022,63,5,5,27
3,2,7,2022,53,2,10,35
3,2,8,2022,40,5,10,45
3,2,9,2022,43,5,10,42
3,2,10,2022,45,5,10,40
3,3,1,2022,30,10,25,35
3,3,2,2022,55,10,0,35
3,3,3,2022,48,2,5,45
3,3,4,2022,87,5,5,3
3,3,5,2022,75,3,1,21
3,3,6,2022,82,5,3,10
3,3,7,2022,70,20,5,5
3,3,8,2022,50,10,5,35
3,3,9,2022,70,10,5,15
3,3,10,2022,63,10,2,25
3,4,1,2022,73,10,10,7
3,4,2,2022,30,35,5,30
3,4,3,2022,44,20,1,35
3,4,4,2022,55,15,5,25
3,4,5,2022,35,20,5,40
3,4,6,2022,30,30,0,40
3,4,7,2022,60,10,5,25
3,4,8,2022,20,63,1,16
3,4,9,2022,35,20,0,45
3,4,10,2022,40,15,10,35
4,1,1,2022,10,73,10,7
4,1,2,2022,15,30,5,50
4,1,3,2022,30,30,10,30
4,1,4,2022,10,38,0,52
4,1,5,2022,5,10,45,40
4,1,6,2022,20,51,1,28
4,1,7,2022,10,33,20,37
4,1,8,2022,30,53,0,17
4,1,9,2022,20,15,10,55
4,1,10,2022,20,35,10,35
4,2,1,2022,19,10,10,61
4,2,2,2022,39,10,15,36
4,2,3,2022,25,30,5,40
4,2,4,2022,48,10,15,27
4,2,5,2022,20,30,0,50
4,2,6,2022,10,45,0,45
4,2,7,2022,35,15,2,48
4,2,8,2022,40,15,0,45
4,2,9,2022,54,20,1,25
4,2,10,2022,55,5,10,30
