site,replicate,year,anthia_decemguttata,stenocara_dentata,zophosis_gracilicornis,cicindela_lurida
7,1,2003,12,2,156,0
7,2,2003,16,10,215,0
7,3,2003,12,10,81,0
7,4,2003,5,11,94,0
8,1,2003,21,0,9,13
8,2,2003,10,18,56,0
8,3,2003,18,26,115,0
8,4,2003,24,37,83,0
9,1,2003,34,10,156,0
9,2,2003,33,5,60,0
9,3,2003,10,12,111,0
9,4,2003,21,6,11,0
10,1,2003,0,7,5,0
10,2,2003,0,1,9,0
10,3,2003,0,1,6,0
10,4,2003,0,1,5,0
11,1,2003,0,0,0,0
11,2,2003,0,0,0,0
11,3,2003,0,0,0,0
11,4,2003,0,0,0,2
12,1,2003,0,14,16,0
12,2,2003,1,8,18,0
12,3,2003,0,5,7,0
12,4,2003,0,6,21,0
13,1,2003,0,4,25,0
13,2,2003,0,0,25,0
13,3,2003,0,11,23,0
13,4,2003,0,4,26,0
14,1,2003,0,0,0,7
14,2,2003,0,0,0,14
14,3,2003,0,0,0,1
14,4,2003,0,0,0,47
15,1,2003,0,0,12,0
15,2,2003,1,0,2,0
15,3,2003,0,0,2,1
15,4,2003,0,0,0,0
16,1,2003,0,0,15,0
16,2,2003,0,0,12,0
16,3,2003,0,0,14,0
16,4,2003,0,0,17,0
17,1,2003,0,4,1,0
17,2,2003,0,1,7,0
17,3,2003,0,3,7,0
17,4,2003,0,0,6,0
1,1,2022,0,0,0,0
1,2,2022,0,0,2,0
1,3,2022,0,0,0,0
1,4,2022,0,0,0,0
2,1,2022,0,0,21,0
2,2,2022,0,0,2,0
2,3,2022,0,0,11,0
2,4,2022,0,0,10,0
3,1,2022,0,0,19,0
3,2,2022,0,1,14,1
3,3,2022,0,5,8,0
3,4,2022,0,0,5,0
4,1,2022,0,0,3,0
4,2,2022,0,0,7,0
4,3,2022,4,0,16,0
4,4,2022,1,0,21,0
5,1,2022,2,0,4,0
5,2,2022,4,0,3,0
5,3,2022,0,0,1,0
5,4,2022,0,0,1,0
6,1,2022,5,0,4,0
6,2,2022,3,0,18,0
6,3,2022,9,0,15,0
6,4,2022,2,0,20,0
7,1,2022,10,4,26,0
7,2,2022,36,4,24,0
7,3,2022,25,14,21,0
7,4,2022,12,9,99,0
8,1,2022,4,0,8,1
8,2,2022,6,6,9,0
8,3,2022,5,10,4,0
8,4,2022,18,6,7,0
9,1,2022,8,0,1,0
9,2,2022,20,9,9,0
9,3,2022,7,4,10,0
9,4,2022,12,3,13,0
10,1,2022,2,15,5,0
10,2,2022,4,16,2,0
10,3,2022,4,23,8,0
10,4,2022,5,4,5,0
11,1,2022,5,0,0,0
11,2,2022,0,0,0,0
11,3,2022,0,0,0,0
11,4,2022,2,0,0,3
12,1,2022,13,34,9,0
12,2,2022,2,25,4,0
12,3,2022,1,24,2,0
12,4,2022,0,30,3,0
13,1,2022,6,1,12,0
13,2,2022,9,21,25,0
13,3,2022,0,15,4,0
13,4,2022,1,16,4,0
14,1,2022,0,0,0,0
14,2,2022,0,0,0,2
14,3,2022,0,0,0,0
14,4,2022,0,0,0,55
15,1,2022,3,0,6,1
15,2,2022,8,0,12,12
15,3,2022,2,0,5,0
15,4,2022,1,0,0,1
16,1,2022,2,0,10,0
16,2,2022,3,0,23,0
16,3,2022,2,0,6,0
16,4,2022,3,0,13,0
17,1,2022,0,7,0,0
17,2,2022,0,2,3,0
17,3,2022,0,2,8,0
17,4,2022,0,1,2,0
1,1,2023,0,0,0,0
1,2,2023,0,0,0,0
1,3,2023,0,0,0,0
1,4,2023,0,0,0,0
2,1,2023,0,0,0,0
2,2,2023,0,0,0,0
2,3,2023,0,0,1,0
2,4,2023,0,0,0,0
3,1,2023,0,0,0,0
3,2,2023,0,0,0,0
3,3,2023,0,0,0,0
3,4,2023,0,0,0,0
4,1,2023,0,0,0,0
4,2,2023,0,0,2,0
4,3,2023,0,0,0,0
4,4,2023,0,0,1,0
5,1,2023,0,0,0,0
5,2,2023,0,0,1,0
5,3,2023,0,0,1,0
5,4,2023,0,0,0,0
6,1,2023,0,0,1,0
6,2,2023,0,0,0,0
6,3,2023,0,0,0,0
6,4,2023,0,0,0,0
7,1,2023,0,0,0,0
7,2,2023,0,0,0,0
7,3,2023,0,0,1,0
7,4,2023,0,0,0,0
8,1,2023,0,0,0,0
8,2,2023,0,0,0,0
8,3,2023,0,0,0,0
8,4,2023,0,0,0,0
9,1,2023,0,0,0,0
9,2,2023,0,0,0,0
9,3,2023,0,0,0,0
9,4,2023,0,0,0,0
10,1,2023,0,0,0,0
10,2,2023,0,0,0,0
10,3,2023,0,0,0,0
10,4,2023,2,0,0,0
11,1,2023,1,0,0,0
11,2,2023,0,0,0,0
11,3,2023,0,0,0,0
11,4,2023,0,0,0,0
12,1,2023,0,0,0,0
12,2,2023,0,0,0,0
12,3,2023,0,0,0,0
12,4,2023,0,0,0,0
13,1,2023,0,0,0,0
13,2,2023,0,0,0,0
13,3,2023,0,0,0,0
13,4,2023,0,0,0,0
14,1,2023,0,0,0,0
14,2,2023,0,0,0,0
14,3,2023,0,0,0,0
14,4,2023,0,0,0,0
15,1,2023,1,0,0,0
15,2,2023,0,0,0,0
15,3,2023,0,0,0,0
15,4,2023,0,0,0,0
16,1,2023,0,0,0,0
16,2,2023,0,0,0,0
16,3,2023,0,0,1,0
16,4,2023,0,0,0,0
17,1,2023,0,0,0,0
17,2,2023,0,22,1,0
17,3,2023,0,2,1,0
17,4,2023,0,0,2,0
